dateEQ: 2008-01-28T03:44:01,
magnitude: 0,
Epicenter Lat: 35.299,
Epicenter Long: 36.235,
Depth: 0
AA, HUL, BHE, 33.05044, 35.61118, 255.965844231, 0
AA, HUL, BHN, 33.05044, 35.61118, 255.965844231, 0
AA, HUL, BHZ, 33.05044, 35.61118, 255.965844231, 0
AA, HUL, BLE, 33.05044, 35.61118, 255.965844231, 0
AA, HUL, BLN, 33.05044, 35.61118, 255.965844231, 0
AA, HUL, BLZ, 33.05044, 35.61118, 255.965844231, 0
AA, IZR, BHE, 32.56284, 35.32262, 314.998776431, 0
AA, IZR, BHN, 32.56284, 35.32262, 314.998776431, 0
AA, IZR, BHZ, 32.56284, 35.32262, 314.998776431, 0
AA, IZR, BLE, 32.56284, 35.32262, 314.998776431, 0
AA, IZR, BLN, 32.56284, 35.32262, 314.998776431, 0
AA, IZR, BLZ, 32.56284, 35.32262, 314.998776431, 0
AA, JER, BHE, 31.77244, 35.19812, 402.819452327, 0
AA, JER, BHN, 31.77244, 35.19812, 402.819452327, 0
AA, JER, BHZ, 31.77244, 35.19812, 402.819452327, 0
AA, JER, BLE, 31.77244, 35.19812, 402.819452327, 0
AA, JER, BLN, 31.77244, 35.19812, 402.819452327, 0
AA, JER, BLZ, 31.77244, 35.19812, 402.819452327, 0
AA, KAZ, BHE, 32.98679, 35.69202, 261.323702475, 0
AA, KAZ, BHN, 32.98679, 35.69202, 261.323702475, 0
AA, KAZ, BHZ, 32.98679, 35.69202, 261.323702475, 0
AA, KAZ, BLE, 32.98679, 35.69202, 261.323702475, 0
AA, KAZ, BLN, 32.98679, 35.69202, 261.323702475, 0
AA, KAZ, BLZ, 32.98679, 35.69202, 261.323702475, 0
AA, KFR, BHE, 31.65, 35.115, 417.886076349, 0
AA, KFR, BHN, 31.65, 35.115, 417.886076349, 0
AA, KFR, BHZ, 31.65, 35.115, 417.886076349, 0
AA, KFR, BLE, 31.65, 35.115, 417.886076349, 0
