dateEQ: 2008-01-04T15:48:38,
magnitude: 3,
Epicenter Lat: 32.0741,
Epicenter Long: 35.4862,
Depth: 5.2036
AA, HAT, BLE, 32.77891, 35.024, 89.4348749998, 0
AA, HAT, BLN, 32.77891, 35.024, 89.4348749998, 0
AA, HAT, BLZ, 32.77891, 35.024, 89.4348749998, 0
AA, HLN, BHE, 32.01717, 34.7702, 67.9174486972, 0
AA, HLN, BHN, 32.01717, 34.7702, 67.9174486972, 0
AA, HLN, BHZ, 32.01717, 34.7702, 67.9174486972, 0
AA, HLN, BLE, 32.01717, 34.7702, 67.9174486972, 0
AA, HLN, BLN, 32.01717, 34.7702, 67.9174486972, 0
AA, HLN, BLZ, 32.01717, 34.7702, 67.9174486972, 0
AA, HUL, BHE, 33.05044, 35.61118, 108.907169308, 0
AA, HUL, BHN, 33.05044, 35.61118, 108.907169308, 0
AA, HUL, BHZ, 33.05044, 35.61118, 108.907169308, 0
AA, HUL, BLE, 33.05044, 35.61118, 108.907169308, 0
AA, HUL, BLN, 33.05044, 35.61118, 108.907169308, 0
AA, HUL, BLZ, 33.05044, 35.61118, 108.907169308, 0
AA, IZR, BHE, 32.56284, 35.32262, 56.3439429761, 0
AA, IZR, BHN, 32.56284, 35.32262, 56.3439429761, 0
AA, IZR, BHZ, 32.56284, 35.32262, 56.3439429761, 0
AA, IZR, BLE, 32.56284, 35.32262, 56.3439429761, 0
AA, IZR, BLN, 32.56284, 35.32262, 56.3439429761, 0
AA, IZR, BLZ, 32.56284, 35.32262, 56.3439429761, 0
AA, JER, BHE, 31.77244, 35.19812, 43.1407814587, 0
AA, JER, BHN, 31.77244, 35.19812, 43.1407814587, 0
AA, JER, BHZ, 31.77244, 35.19812, 43.1407814587, 0
AA, JER, BLE, 31.77244, 35.19812, 43.1407814587, 0
AA, JER, BLN, 31.77244, 35.19812, 43.1407814587, 0
AA, JER, BLZ, 31.77244, 35.19812, 43.1407814587, 0
AA, KAZ, BHE, 32.98679, 35.69202, 103.044108626, 0
AA, KAZ, BHN, 32.98679, 35.69202, 103.044108626, 0
AA, KAZ, BHZ, 32.98679, 35.69202, 103.044108626, 0
AA, KAZ, BLE, 32.98679, 35.69202, 103.044108626, 0
AA, KAZ, BLN, 32.98679, 35.69202, 103.044108626, 0
AA, KAZ, BLZ, 32.98679, 35.69202, 103.044108626, 0
AA, KFR, BHE, 31.65, 35.115, 58.6978157609, 0
AA, KFR, BHN, 31.65, 35.115, 58.6978157609, 0
AA, KFR, BHZ, 31.65, 35.115, 58.6978157609, 0
AA, KFR, BLE, 31.65, 35.115, 58.6978157609, 0
AA, KFR, BLN, 31.65, 35.115, 58.6978157609, 0
AA, KFR, BLZ, 31.65, 35.115, 58.6978157609, 0
AA, KIT, BHE, 33.20682, 35.5686, 125.854185471, 0
AA, KIT, BHN, 33.20682, 35.5686, 125.854185471, 0
AA, KIT, BHZ, 33.20682, 35.5686, 125.854185471, 0
AA, KIT, BLE, 33.20682, 35.5686, 125.854185471, 0
AA, KIT, BLN, 33.20682, 35.5686, 125.854185471, 0
AA, KIT, BLZ, 33.20682, 35.5686, 125.854185471, 0
AA, LAV, BHE, 31.38146, 34.8706, 96.4471018151, 0
AA, LAV, BHN, 31.38146, 34.8706, 96.4471018151, 0
AA, LAV, BHZ, 31.38146, 34.8706, 96.4471018151, 0
AA, LAV, BLE, 31.38146, 34.8706, 96.4471018151, 0
AA, LAV, BLN, 31.38146, 34.8706, 96.4471018151, 0
AA, LAV, BLZ, 31.38146, 34.8706, 96.4471018151, 0
AA, LOD, BHE, 31.96014, 34.90205, 56.6160919129, 0
AA, LOD, BHN, 31.96014, 34.90205, 56.6160919129, 0
AA, LOD, BHZ, 31.96014, 34.90205, 56.6160919129, 0
AA, LOD, BLE, 31.96014, 34.90205, 56.6160919129, 0
AA, LOD, BLN, 31.96014, 34.90205, 56.6160919129, 0
AA, LOD, BLZ, 31.96014, 34.90205, 56.6160919129, 0
AA, MAD, BHE, 31.00326, 34.78449, 136.153507181, 0
AA, MAD, BHN, 31.00326, 34.78449, 136.153507181, 0
AA, MAD, BHZ, 31.00326, 34.78449, 136.153507181, 0
AA, MAD, BLE, 31.00326, 34.78449, 136.153507181, 0
AA, MAD, BLN, 31.00326, 34.78449, 136.153507181, 0
AA, MAD, BLZ, 31.00326, 34.78449, 136.153507181, 0
AA, MAN, BHE, 33.19538, 35.5455, 124.47213414, 0
AA, MAN, BHN, 33.19538, 35.5455, 124.47213414, 0
AA, MAN, BHZ, 33.19538, 35.5455, 124.47213414, 0
AA, MAN, BLE, 33.19538, 35.5455, 124.47213414, 0
AA, MAN, BLN, 33.19538, 35.5455, 124.47213414, 0
AA, MAN, BLZ, 33.19538, 35.5455, 124.47213414, 0
AA, MAS, BHE, 32.68349, 35.59804, 68.3919739617, 0
AA, MAS, BHN, 32.68349, 35.59804, 68.3919739617, 0
AA, MAS, BHZ, 32.68349, 35.59804, 68.3919739617, 0
AA, MAS, BLE, 32.68349, 35.59804, 68.3919739617, 0
AA, MAS, BLN, 32.68349, 35.59804, 68.3919739617, 0
AA, MAS, BLZ, 32.68349, 35.59804, 68.3919739617, 0
AA, MIFC, BHE, 31.048, 35.367, 114.334541624, 0
AA, MIFC, BHN, 31.048, 35.367, 114.334541624, 0
AA, MIFC, BHZ, 31.048, 35.367, 114.334541624, 0
AA, MIFC, BLE, 31.048, 35.367, 114.334541624, 0
AA, MIFC, BLN, 31.048, 35.367, 114.334541624, 0
AA, MIFC, BLZ, 31.048, 35.367, 114.334541624, 0
AA, MIZ, BHE, 31.56933, 35.40012, 56.5609636161, 0
AA, MIZ, BHN, 31.56933, 35.40012, 56.5609636161, 0
AA, MIZ, BHZ, 31.56933, 35.40012, 56.5609636161, 0
AA, MIZ, BLE, 31.56933, 35.40012, 56.5609636161, 0
AA, MIZ, BLN, 31.56933, 35.40012, 56.5609636161, 0
AA, MIZ, BLZ, 31.56933, 35.40012, 56.5609636161, 0
AA, MRM, BHE, 30.59757, 34.76189, 177.629131269, 0
AA, MRM, BHN, 30.59757, 34.76189, 177.629131269, 0
AA, MRM, BHZ, 30.59757, 34.76189, 177.629131269, 0
AA, MRM, BLE, 30.59757, 34.76189, 177.629131269, 0
AA, MRM, BLN, 30.59757, 34.76189, 177.629131269, 0
AA, MRM, BLZ, 30.59757, 34.76189, 177.629131269, 0
AA, NAZ, BHE, 32.69968, 35.27372, 72.1962959752, 0
AA, NAZ, BHN, 32.69968, 35.27372, 72.1962959752, 0
AA, NAZ, BHZ, 32.69968, 35.27372, 72.1962959752, 0
AA, NAZ, BLE, 32.69968, 35.27372, 72.1962959752, 0
AA, NAZ, BLN, 32.69968, 35.27372, 72.1962959752, 0
AA, NAZ, BLZ, 32.69968, 35.27372, 72.1962959752, 0
AA, NET, BHE, 30.991, 35.362, 120.670516182, 0
AA, NET, BHN, 30.991, 35.362, 120.670516182, 0
AA, NET, BHZ, 30.991, 35.362, 120.670516182, 0
AA, NET, BLE, 30.991, 35.362, 120.670516182, 0
AA, NET, BLN, 30.991, 35.362, 120.670516182, 0
AA, NET, BLZ, 30.991, 35.362, 120.670516182, 0
AA, NTY, BHE, 32.31979, 34.88704, 62.7212371086, 0
AA, NTY, BHN, 32.31979, 34.88704, 62.7212371086, 0
AA, NTY, BHZ, 32.31979, 34.88704, 62.7212371086, 0
AA, NTY, BLE, 32.31979, 34.88704, 62.7212371086, 0
AA, NTY, BLN, 32.31979, 34.88704, 62.7212371086, 0
AA, NTY, BLZ, 32.31979, 34.88704, 62.7212371086, 0
AA, P005, BHE, 31.2352, 35.3677, 93.6944186475, 0
AA, P005, BHN, 31.2352, 35.3677, 93.6944186475, 0
AA, P005, BHZ, 31.2352, 35.3677, 93.6944186475, 0
AA, P005, BLE, 31.2352, 35.3677, 93.6944186475, 0
AA, P005, BLN, 31.2352, 35.3677, 93.6944186475, 0
AA, P005, BLZ, 31.2352, 35.3677, 93.6944186475, 0
AA, P088, BHE, 31.32826, 35.40125, 83.0910926173, 0
AA, P088, BHN, 31.32826, 35.40125, 83.0910926173, 0
AA, P088, BHZ, 31.32826, 35.40125, 83.0910926173, 0
AA, P088, BLE, 31.32826, 35.40125, 83.0910926173, 0
AA, P088, BLN, 31.32826, 35.40125, 83.0910926173, 0
AA, P088, BLZ, 31.32826, 35.40125, 83.0910926173, 0
AA, PET, BHE, 32.08946, 34.87435, 57.7892809521, 0
AA, PET, BHN, 32.08946, 34.87435, 57.7892809521, 0
AA, PET, BHZ, 32.08946, 34.87435, 57.7892809521, 0
AA, PET, BLE, 32.08946, 34.87435, 57.7892809521, 0
AA, PET, BLN, 32.08946, 34.87435, 57.7892809521, 0
AA, PET, BLZ, 32.08946, 34.87435, 57.7892809521, 0
AA, POR, BHE, 32.75144, 35.5405, 75.2864536472, 0
AA, POR, BHN, 32.75144, 35.5405, 75.2864536472, 0
AA, POR, BHZ, 32.75144, 35.5405, 75.2864536472, 0
AA, POR, BLE, 32.75144, 35.5405, 75.2864536472, 0
AA, POR, BLN, 32.75144, 35.5405, 75.2864536472, 0
