dateEQ: 2008-02-11T23:46:51,
magnitude: 4.3,
Epicenter Lat: 33.2952,
Epicenter Long: 35.4253,
Depth: 9.5648
AA, HAT, BHE, 32.77891, 35.024, 68.4388423533, 0
AA, HAT, BHN, 32.77891, 35.024, 68.4388423533, 0
AA, HAT, BHZ, 32.77891, 35.024, 68.4388423533, 0
AA, HAT, BLE, 32.77891, 35.024, 68.4388423533, 0
AA, HAT, BLN, 32.77891, 35.024, 68.4388423533, 0
AA, HAT, BLZ, 32.77891, 35.024, 68.4388423533, 0
AA, HLN, BHE, 32.01717, 34.7702, 154.481301091, 0
AA, HLN, BHN, 32.01717, 34.7702, 154.481301091, 0
AA, HLN, BHZ, 32.01717, 34.7702, 154.481301091, 0
AA, HLN, BLE, 32.01717, 34.7702, 154.481301091, 0
AA, HLN, BLN, 32.01717, 34.7702, 154.481301091, 0
AA, HLN, BLZ, 32.01717, 34.7702, 154.481301091, 0
AA, HUL, BHE, 33.05044, 35.61118, 32.2097165529, 0
AA, HUL, BHN, 33.05044, 35.61118, 32.2097165529, 0
AA, HUL, BHZ, 33.05044, 35.61118, 32.2097165529, 0
AA, HUL, BLE, 33.05044, 35.61118, 32.2097165529, 0
AA, HUL, BLN, 33.05044, 35.61118, 32.2097165529, 0
AA, HUL, BLZ, 33.05044, 35.61118, 32.2097165529, 0
AA, IZR, BHE, 32.56284, 35.32262, 81.7868290846, 0
AA, IZR, BHN, 32.56284, 35.32262, 81.7868290846, 0
AA, IZR, BHZ, 32.56284, 35.32262, 81.7868290846, 0
AA, IZR, BLE, 32.56284, 35.32262, 81.7868290846, 0
AA, IZR, BLN, 32.56284, 35.32262, 81.7868290846, 0
AA, IZR, BLZ, 32.56284, 35.32262, 81.7868290846, 0
AA, JER, BHE, 31.77244, 35.19812, 170.211395988, 0
AA, JER, BHN, 31.77244, 35.19812, 170.211395988, 0
AA, JER, BHZ, 31.77244, 35.19812, 170.211395988, 0
AA, JER, BLE, 31.77244, 35.19812, 170.211395988, 0
AA, JER, BLN, 31.77244, 35.19812, 170.211395988, 0
AA, JER, BLZ, 31.77244, 35.19812, 170.211395988, 0
AA, KAZ, BHE, 32.98679, 35.69202, 42.2999391216, 0
AA, KAZ, BHN, 32.98679, 35.69202, 42.2999391216, 0
AA, KAZ, BHZ, 32.98679, 35.69202, 42.2999391216, 0
AA, KAZ, BLE, 32.98679, 35.69202, 42.2999391216, 0
AA, KAZ, BLN, 32.98679, 35.69202, 42.2999391216, 0
AA, KAZ, BLZ, 32.98679, 35.69202, 42.2999391216, 0
AA, KFR, BHE, 31.65, 35.115, 184.761509174, 0
AA, KFR, BHN, 31.65, 35.115, 184.761509174, 0
AA, KFR, BHZ, 31.65, 35.115, 184.761509174, 0
AA, KFR, BLE, 31.65, 35.115, 184.761509174, 0
AA, KFR, BLN, 31.65, 35.115, 184.761509174, 0
AA, KFR, BLZ, 31.65, 35.115, 184.761509174, 0
AA, KIT, BHE, 33.20682, 35.5686, 16.5651911918, 0
AA, KIT, BHN, 33.20682, 35.5686, 16.5651911918, 0
AA, KIT, BHZ, 33.20682, 35.5686, 16.5651911918, 0
AA, KIT, BLE, 33.20682, 35.5686, 16.5651911918, 0
AA, KIT, BLN, 33.20682, 35.5686, 16.5651911918, 0
AA, KIT, BLZ, 33.20682, 35.5686, 16.5651911918, 0
AA, LAV, BHE, 31.38146, 34.8706, 218.549502862, 0
AA, LAV, BHN, 31.38146, 34.8706, 218.549502862, 0
AA, LAV, BHZ, 31.38146, 34.8706, 218.549502862, 0
AA, LAV, BLE, 31.38146, 34.8706, 218.549502862, 0
AA, LAV, BLN, 31.38146, 34.8706, 218.549502862, 0
AA, LAV, BLZ, 31.38146, 34.8706, 218.549502862, 0
AA, LOD, BHE, 31.96014, 34.90205, 155.984954655, 0
AA, LOD, BHN, 31.96014, 34.90205, 155.984954655, 0
AA, LOD, BHZ, 31.96014, 34.90205, 155.984954655, 0
AA, LOD, BLE, 31.96014, 34.90205, 155.984954655, 0
AA, LOD, BLN, 31.96014, 34.90205, 155.984954655, 0
AA, LOD, BLZ, 31.96014, 34.90205, 155.984954655, 0
AA, MAD, BHE, 31.00326, 34.78449, 261.241004863, 0
AA, MAD, BHN, 31.00326, 34.78449, 261.241004863, 0
AA, MAD, BHZ, 31.00326, 34.78449, 261.241004863, 0
AA, MAD, BLE, 31.00326, 34.78449, 261.241004863, 0
AA, MAD, BLN, 31.00326, 34.78449, 261.241004863, 0
AA, MAD, BLZ, 31.00326, 34.78449, 261.241004863, 0
AA, MAN, BHE, 33.19538, 35.5455, 15.7495245815, 0
AA, MAN, BHN, 33.19538, 35.5455, 15.7495245815, 0
AA, MAN, BHZ, 33.19538, 35.5455, 15.7495245815, 0
AA, MAN, BLE, 33.19538, 35.5455, 15.7495245815, 0
AA, MAN, BLN, 33.19538, 35.5455, 15.7495245815, 0
AA, MAN, BLZ, 33.19538, 35.5455, 15.7495245815, 0
AA, MAS, BHE, 32.68349, 35.59804, 69.7358761078, 0
AA, MAS, BHN, 32.68349, 35.59804, 69.7358761078, 0
AA, MAS, BHZ, 32.68349, 35.59804, 69.7358761078, 0
AA, MAS, BLE, 32.68349, 35.59804, 69.7358761078, 0
AA, MAS, BLN, 32.68349, 35.59804, 69.7358761078, 0
AA, MAS, BLZ, 32.68349, 35.59804, 69.7358761078, 0
AA, MIFC, BHE, 31.048, 35.367, 249.252380112, 0
AA, MIFC, BHN, 31.048, 35.367, 249.252380112, 0
AA, MIFC, BHZ, 31.048, 35.367, 249.252380112, 0
AA, MIFC, BLE, 31.048, 35.367, 249.252380112, 0
AA, MIFC, BLN, 31.048, 35.367, 249.252380112, 0
AA, MIFC, BLZ, 31.048, 35.367, 249.252380112, 0
AA, MIZ, BHE, 31.56933, 35.40012, 191.40403199, 0
AA, MIZ, BHN, 31.56933, 35.40012, 191.40403199, 0
AA, MIZ, BHZ, 31.56933, 35.40012, 191.40403199, 0
AA, MIZ, BLE, 31.56933, 35.40012, 191.40403199, 0
AA, MIZ, BLN, 31.56933, 35.40012, 191.40403199, 0
AA, MIZ, BLZ, 31.56933, 35.40012, 191.40403199, 0
AA, MRM, BHE, 30.59757, 34.76189, 305.632246779, 0
AA, MRM, BHN, 30.59757, 34.76189, 305.632246779, 0
AA, MRM, BHZ, 30.59757, 34.76189, 305.632246779, 0
AA, MRM, BLE, 30.59757, 34.76189, 305.632246779, 0
AA, MRM, BLN, 30.59757, 34.76189, 305.632246779, 0
AA, MRM, BLZ, 30.59757, 34.76189, 305.632246779, 0
