Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type
2008-04-06,22:57:00,00,3.1,0.0,0.0,27.1506,35.4850,0,Red-Sea,EQ
2008-04-07,01:33:06,452,3.3,0.0,0.0,32.9586,34.9656,11,Carmel-Tirza,F
2008-04-13,08:17:42,498,3.6,0.0,0.0,31.2822,35.5203,10,Dead-Sea-Basin,EQ
2008-04-22,19:10:47,634,3.1,0.0,0.0,34.4759,32.4465,0,Cyprus,EQ
2008-05-19,08:56:16,793,4.1,4.3,0.0,28.1477,33.1792,0,Suez,EQ
2008-05-19,09:08:15,439,3.7,4.0,0.0,33.2711,35.4345,0,Lebanon,EQ
2008-05-21,12:43:23,531,3.1,0.0,0.0,33.2684,35.4313,0,Lebanon,EQ
2008-05-23,18:25:55,78,3.6,0.0,0.0,33.2936,35.4453,0,Lebanon,EQ
2008-05-29,06:10:43,601,3.9,4.0,0.0,27.7590,33.3983,15,Suez,EQ
2008-05-29,07:16:12,986,4.1,4.2,0.0,27.2864,34.3364,10,Red-Sea,EQ
2008-06-02,03:17:43,236,3.2,0.0,0.0,28.2850,34.4325,0,Arnona-Dakar-Deep,EQ
2008-06-06,00:12:50,490,3.8,4.1,0.0,34.4236,32.9780,0,Cyprus,EQ
2008-06-06,01:16:12,456,3.2,0.0,0.0,34.4189,32.9915,0,Cyprus,EQ
2008-06-12,12:58:12,648,3.9,4.2,0.0,33.2804,35.4623,0,Lebanon,F
2008-06-12,15:28:58,382,3.4,0.0,0.0,33.3180,35.4481,0,Lebanon,EQ
2008-06-12,15:41:01,280,3.8,4.0,0.0,33.2868,35.4543,0,Lebanon,F
2008-06-12,15:43:22,688,3.9,4.1,0.0,33.2958,35.4501,0,Lebanon,EQ
2008-06-12,16:40:40,646,3.6,0.0,0.0,33.2954,35.4496,0,Lebanon,F
2008-06-13,05:28:52,671,3.9,4.1,0.0,33.3201,35.4484,0,Lebanon,F
2008-06-13,09:02:37,654,3.0,0.0,0.0,33.2944,35.4604,0,Lebanon,EQ
2008-06-23,15:45:46,450,3.0,0.0,0.0,33.2909,35.4335,0,Lebanon,EQ
2008-07-08,01:35:49,936,3.5,0.0,0.0,33.7462,32.6142,25,E.Mediter.Sea,EQ
2008-07-22,09:08:10,746,3.3,0.0,0.0,33.2832,35.4500,1,Lebanon,EQ
2008-08-13,06:05:29,612,3.2,0.0,0.0,33.0576,34.5540,10,Carmel-Tirza,F
2008-09-10,01:58:25,228,3.8,4.0,0.0,27.7774,33.1523,5,Suez,EQ
2008-09-18,16:54:22,475,3.0,0.0,0.0,34.6684,32.9655,10,Cyprus,EQ
2008-10-06,03:06:24,767,3.3,0.0,0.0,27.6480,34.8504,10,Red-Sea,EQ
2008-10-19,14:07:59,577,3.9,4.2,0.0,34.6589,34.1689,0,Cyprus,EQ
2008-10-28,22:13:52,264,3.1,0.0,0.0,34.2820,32.4601,10,Cyprus,EQ
2008-11-02,08:27:28,186,3.4,0.0,0.0,34.4182,32.2896,15,Cyprus,EQ
2008-11-09,18:23:51,145,4.0,4.2,0.0,34.1742,34.1409,0,E.Mediter.Sea,EQ
2008-11-18,09:13:34,781,3.2,0.0,0.0,27.1649,36.0577,0,Saudi-Arabia,EQ
2008-12-01,22:46:13,357,3.2,0.0,0.0,28.3361,33.5834,15,Suez,EQ
2008-12-14,02:59:08,319,3.3,0.0,0.0,27.5639,34.7246,0,Red-Sea,EQ
2008-12-28,09:36:34,234,3.3,0.0,0.0,28.4185,34.0120,5,Sinai,EQ
2009-01-12,02:04:36,623,4.0,4.2,0.0,34.1329,33.3101,10,E.Mediter.Sea,EQ
2009-01-21,06:40:59,175,3.6,0.0,0.0,32.5114,34.4565,10,E.Mediter.Sea,F
2009-01-22,04:43:06,578,3.2,0.0,0.0,35.9126,35.7503,0,E.Mediter.Sea,EQ
2009-01-27,17:31:52,861,3.5,0.0,0.0,27.9063,35.4756,10,Saudi-Arabia,EQ
2009-02-03,14:04:03,98,3.6,0.0,0.0,27.1724,33.5117,0,Egypt,EQ
2009-03-03,07:47:49,402,3.1,0.0,0.0,35.5508,32.0572,1,E.Mediter.Sea,EQ
2009-03-04,03:08:07,486,3.1,0.0,0.0,34.4296,37.5855,14,Palmira,EQ
2009-03-09,17:24:57,534,3.5,0.0,0.0,33.1588,35.7391,2,Hula-Kinneret,F
2009-04-15,07:37:28,541,3.2,0.0,0.0,34.3498,32.2628,30,E.Mediter.Sea,EQ
2009-04-17,11:03:58,280,4.2,4.3,0.0,33.3364,35.4331,0,Lebanon,F
2009-04-17,19:06:34,747,3.0,0.0,0.0,33.2656,35.4710,0,Lebanon,EQ
2009-04-21,13:18:28,760,3.3,0.0,0.0,31.4821,35.5590,10,Dead-Sea-Basin,EQ
2009-05-06,06:49:06,66,3.5,4.0,0.0,34.0989,35.7099,11,Lebanon,EQ
2009-05-10,06:57:17,611,3.0,0.0,0.0,28.3226,34.8479,13,Saudi-Arabia,EQ
2009-05-10,13:29:20,31,3.7,0.0,0.0,28.2170,34.8642,14,Saudi-Arabia,EQ
2009-05-10,17:28:27,868,3.8,4.1,0.0,28.4331,35.1724,7,Saudi-Arabia,EQ
2009-06-13,18:45:40,716,3.1,0.0,0.0,32.7784,35.3750,11,Galilee,F
2009-06-16,04:02:10,605,3.9,4.1,0.0,27.2600,34.6400,20,Red-Sea,EQ
2009-07-10,10:05:21,322,3.3,0.0,0.0,34.4643,32.8251,15,E.Mediter.Sea,EQ
2009-07-10,18:19:17,851,3.6,0.0,0.0,33.2589,35.3974,6,Lebanon,F
2009-07-23,12:37:11,543,3.2,0.0,0.0,28.3302,34.8597,7,Saudi-Arabia,EQ
2009-07-24,09:48:39,425,3.5,0.0,0.0,28.2135,34.6834,0,Arnona-Dakar-Deep,EQ
2009-07-24,18:29:52,961,3.3,0.0,0.0,28.4260,33.1901,14,Suez,EQ
2009-08-14,18:17:34,436,3.1,0.0,0.0,29.9412,34.3838,8,East-Sinai,EQ
2009-08-25,06:28:36,848,4.2,4.3,0.0,34.6933,33.0541,10,Cyprus,EQ
2009-08-26,12:18:00,125,3.1,0.0,0.0,32.0932,35.3919,2,E.Shomron,F
2009-09-16,14:09:42,650,4.6,4.6,0.0,34.6847,33.2482,0,Cyprus,EQ
2009-09-16,14:48:22,652,3.1,0.0,0.0,34.6577,33.2449,0,Cyprus,EQ
2009-10-04,20:58:18,113,3.0,0.0,0.0,34.2449,36.7523,4,Palmira,EQ
2009-11-04,00:17:56,688,3.2,0.0,0.0,28.6566,34.6613,0,Arnona-Dakar-Deep,EQ
2009-11-20,01:52:54,199,3.5,0.0,0.0,27.5823,34.9814,13,Red-Sea,EQ
2009-11-22,07:51:09,406,3.2,0.0,0.0,34.8866,33.1656,29,Cyprus,EQ
2009-12-26,20:22:53,403,3.2,0.0,0.0,34.9895,34.0003,10,Cyprus,EQ
2009-12-29,06:28:42,685,3.9,4.1,0.0,28.8208,34.6294,1,Aragonese-Deep,EQ
2010-01-17,22:16:05,440,3.2,0.0,0.0,34.4601,32.2894,10,E.Mediter.Sea,EQ
2010-01-20,23:06:29,311,3.0,0.0,0.0,34.9200,34.0900,10,Cyprus,EQ
2010-02-04,23:42:55,942,3.9,4.1,0.0,35.6994,32.0099,7,E.Mediter.Sea,EQ
2010-03-03,20:33:20,996,3.2,0.0,0.0,34.4379,32.7691,10,E.Mediter.Sea,EQ
2010-03-09,00:50:49,875,3.6,0.0,0.0,33.5055,34.8017,18,E.Mediter.Sea,F
2010-03-09,19:58:03,441,3.7,0.0,0.0,27.6239,33.6646,15,Suez,EQ
2010-03-14,04:46:13,305,3.3,0.0,0.0,34.4824,32.2194,10,E.Mediter.Sea,EQ
2010-03-20,18:45:29,566,3.6,0.0,0.0,32.9131,35.6200,13,Hula-Kinneret,F
2010-04-15,14:57:41,548,3.1,0.0,0.0,34.6200,33.1801,2,E.Mediter.Sea,EQ
2010-04-25,02:26:01,821,3.3,0.0,0.0,34.6901,32.7410,9,Cyprus,EQ
2010-05-11,14:23:28,255,3.1,0.0,0.0,34.7568,34.1479,10,E.Mediter.Sea,EQ
2010-05-15,11:09:42,476,3.1,0.0,0.0,34.8573,36.5781,7,Syria,EQ
2010-05-21,08:23:21,470,3.3,0.0,0.0,27.2843,34.9748,14,Red-Sea,EQ
2010-05-28,19:21:09,259,3.0,0.0,0.0,33.3804,35.5083,0,Lebanon,EQ
2010-05-30,18:12:44,623,4.3,4.4,0.0,27.8358,34.5974,10,Red-Sea,EQ
2010-06-21,19:17:39,71,3.0,0.0,0.0,35.8018,37.4039,0,Syria,EQ
2010-06-26,11:46:58,331,3.0,0.0,0.0,27.6381,34.8106,1,Red-Sea,EQ
2010-07-15,11:25:54,97,4.4,4.4,0.0,28.9686,34.7589,9,Aragonese-Deep,F
2010-07-27,16:07:47,96,3.6,0.0,0.0,34.8123,33.3713,15,Cyprus,EQ
2010-07-27,18:54:36,362,3.1,0.0,0.0,27.8742,33.4917,0,Suez,EQ
2010-08-22,22:25:00,250,3.1,0.0,3.0,33.1158,35.4549,4,Hula-Kinneret,F
2010-09-05,22:00:27,219,3.1,0.0,0.0,28.9220,34.6703,0,Aragonese-Deep,EQ
2010-09-26,10:16:59,188,3.4,0.0,0.0,35.5855,37.5844,0,Syria,EQ
2010-10-19,16:47:58,120,3.5,0.0,0.0,30.3965,35.3041,10,Arava,EQ
2010-10-24,20:07:44,380,3.2,0.0,0.0,27.8236,34.0419,0,Suez,EQ
2010-11-03,13:08:54,518,3.1,0.0,0.0,34.5620,32.7029,0,E.Mediter.Sea,EQ
2010-11-08,11:47:50,963,3.2,0.0,0.0,34.6403,33.9523,10,E.Mediter.Sea,EQ
2010-11-14,18:48:12,466,3.0,0.0,0.0,33.0668,35.5044,0,Hula-Kinneret,F
2010-11-16,02:32:01,107,3.6,0.0,0.0,33.1173,35.4431,3,Hula-Kinneret,F
2010-11-25,10:17:36,73,3.5,0.0,0.0,33.1227,35.4442,5,Hula-Kinneret,F
2010-12-01,05:08:49,974,3.5,0.0,0.0,31.5158,35.4137,5,Dead-Sea-Basin,F
2010-12-04,21:36:31,185,3.2,0.0,0.0,28.7598,34.7229,0,Aragonese-Deep,EQ
2010-12-22,17:23:23,537,3.9,4.1,0.0,27.2963,34.9096,10,Red-Sea,EQ
2010-12-25,17:01:07,331,3.2,0.0,0.0,35.4333,35.0536,25,E.Mediter.Sea,EQ
2010-12-31,08:55:44,554,3.4,0.0,0.0,28.8045,32.9028,20,Suez,EQ
2011-01-01,16:31:07,668,4.0,4.1,3.9,32.6605,35.6338,3,Jordan-Valley,F
2011-01-04,01:29:29,600,3.2,0.0,0.0,34.6403,33.8776,15,E.Mediter.Sea,EQ
2011-01-20,21:38:49,114,3.6,0.0,3.8,33.0890,35.4620,3,Hula-Kinneret,F
2011-01-27,05:35:48,722,3.5,0.0,0.0,35.9983,32.1397,30,E.Mediter.Sea,EQ
2011-01-31,11:31:05,198,3.3,0.0,3.5,33.2371,33.6034,24,E.Mediter.Sea,F
2011-02-02,13:05:39,321,3.1,0.0,0.0,27.7739,33.9424,1,Suez,EQ
2011-02-14,03:54:28,304,3.3,0.0,0.0,34.6584,32.9982,10,Cyprus,EQ
2011-02-17,13:39:46,319,3.3,0.0,0.0,27.3397,35.2224,15,Red-Sea,EQ
2011-03-02,07:50:35,276,3.5,0.0,0.0,33.8067,33.8744,31,E.Mediter.Sea,EQ
2011-03-09,10:04:24,413,3.1,0.0,0.0,27.6399,35.7811,1,Saudi-Arabia,EQ
2011-03-26,16:25:15,516,4.1,4.3,4.2,34.3984,32.2751,10,E.Mediter.Sea,EQ
2011-04-18,12:50:40,903,3.3,0.0,0.0,34.8574,34.3698,9,E.Mediter.Sea,EQ
2011-05-29,19:17:33,325,3.4,0.0,3.1,33.0100,35.8948,5,W.Sirhan,F
2011-06-15,11:32:04,935,3.5,0.0,0.0,34.4647,32.8489,5,E.Mediter.Sea,EQ
2011-06-28,09:29:19,304,3.2,0.0,0.0,35.8427,35.4328,0,E.Mediter.Sea,EQ
2011-06-30,10:50:26,347,3.9,4.1,0.0,27.0028,34.5611,1,Red-Sea,EQ
2011-07-27,04:44:28,677,0.0,0.0,3.9,27.5955,32.6591,80,Egypt,EQ
2011-07-29,20:28:42,89,3.7,0.0,3.2,27.9960,34.8644,2,Red-Sea,EQ
2011-08-03,10:12:42,527,3.3,0.0,3.0,30.1376,32.5247,25,Suez,EQ
2011-08-07,08:52:28,52,4.2,4.4,3.8,32.5659,34.4817,27,E.Mediter.Sea,F
2011-08-19,10:35:50,127,0.0,0.0,3.1,34.5797,32.8203,10,E.Mediter.Sea,EQ
2011-09-10,02:16:30,985,3.4,0.0,0.0,27.1875,34.0376,18,Red-Sea,EQ
2011-10-13,17:14:15,794,3.7,4.0,0.0,35.7299,32.1029,30,E.Mediter.Sea,EQ
2011-10-21,12:37:29,360,3.8,4.0,3.2,28.5000,34.7528,0,Arnona-Dakar-Deep,EQ
2011-10-21,16:07:21,511,3.4,0.0,0.0,28.5164,34.6826,0,Arnona-Dakar-Deep,EQ
2011-10-21,16:36:37,409,4.0,4.2,0.0,28.4474,34.8954,0,Saudi-Arabia,EQ
2011-10-21,17:34:06,946,4.0,4.1,0.0,28.4957,34.6130,0,Arnona-Dakar-Deep,EQ
2011-10-21,17:55:42,475,3.1,0.0,0.0,28.5677,34.6711,0,Arnona-Dakar-Deep,EQ
2011-10-28,05:48:13,278,3.3,0.0,3.2,34.3869,32.0316,31,E.Mediter.Sea,EQ
2011-11-03,11:23:13,227,3.7,0.0,3.2,27.8772,34.5881,0,Red-Sea,EQ
2011-11-04,05:37:49,87,3.1,0.0,2.9,33.9889,34.4808,31,E.Mediter.Sea,EQ
2011-12-01,19:51:11,772,0.0,0.0,3.4,32.8690,35.0151,2,Carmel-Tirza,EQ
2011-12-04,20:55:21,870,3.9,4.1,3.4,33.1400,35.5820,6,Hula-Kinneret,F
2012-01-30,22:57:03,660,3.2,0.0,0.0,27.0727,33.9002,10,Red-Sea,EQ
2012-01-31,00:42:17,196,3.2,0.0,0.0,27.0925,34.2191,10,Red-Sea,EQ
2012-02-09,11:11:56,703,3.1,0.0,3.0,32.8561,35.5594,2,Hula-Kinneret,F
2012-02-16,12:46:44,710,3.8,4.0,0.0,30.9262,32.2562,0,Sinai,EQ
2012-03-07,08:47:53,165,3.7,0.0,3.5,33.2726,35.4094,1,Lebanon,F
2012-03-07,14:06:12,330,3.2,0.0,0.0,33.2125,35.4301,0,Lebanon,EQ
2012-03-08,01:15:53,226,3.3,0.0,0.0,33.2109,35.4317,0,Lebanon,EQ
2012-03-09,20:52:56,92,3.6,0.0,0.0,34.7273,32.6763,10,Cyprus,EQ
2012-03-12,02:31:31,601,4.1,4.2,0.0,27.2463,32.7404,32,Egypt,EQ
2012-03-22,04:17:04,147,3.7,0.0,3.4,31.3051,35.4003,22,Dead-Sea-Basin,F
2012-03-24,12:01:08,725,3.2,0.0,3.4,33.2547,34.5840,9,Carmel-Tirza,F
2012-04-18,09:08:33,209,3.5,0.0,0.0,27.0374,34.1202,10,Red-Sea,EQ
2012-04-25,17:52:50,188,3.6,0.0,0.0,34.5466,33.0415,16,E.Mediter.Sea,EQ
2012-04-25,18:16:56,658,3.2,0.0,0.0,34.5582,33.0330,18,E.Mediter.Sea,EQ
2012-05-03,06:24:29,878,3.0,0.0,0.0,35.8190,33.6877,1,E.Mediter.Sea,EQ
2012-05-09,10:48:12,684,4.4,4.5,0.0,34.6990,32.9260,20,Cyprus,EQ
2012-05-11,18:48:32,664,5.4,5.2,4.8,34.2810,34.1513,31,E.Mediter.Sea,F
2012-05-12,18:58:59,60,3.1,0.0,2.8,34.4855,32.8530,9,E.Mediter.Sea,EQ
2012-05-16,00:17:57,618,3.5,0.0,0.0,35.4128,35.7791,2,E.Mediter.Sea,EQ
2012-05-17,05:08:38,221,3.7,0.0,0.0,34.5400,33.3200,10,E.Mediter.Sea,EQ
2012-06-10,09:29:08,979,4.0,4.2,0.0,27.1456,33.9024,10,Red-Sea,EQ
2012-07-10,17:35:00,377,3.3,0.0,3.2,33.3094,35.3492,2,Lebanon,F
2012-07-10,18:06:00,136,3.1,0.0,0.0,27.6994,35.1047,10,Red-Sea,EQ
2012-07-21,17:02:59,932,3.1,0.0,2.9,33.2758,35.3647,1,Lebanon,EQ
2012-07-28,23:29:52,97,4.2,4.3,4.5,34.8395,34.3194,31,E.Mediter.Sea,F
2012-08-11,04:00:47,211,3.6,0.0,3.3,29.9560,35.1332,10,Arava,EQ
2012-08-15,15:39:18,339,3.3,0.0,0.0,29.9620,35.0824,12,Arava,EQ
2012-08-24,15:48:08,08,3.0,0.0,0.0,34.6310,33.4642,15,E.Mediter.Sea,EQ
2012-09-14,20:28:53,97,3.7,0.0,0.0,27.6526,34.7396,4,Red-Sea,EQ
2012-10-08,19:14:38,458,4.0,4.1,3.8,29.2522,35.0764,6,Saudi-Arabia,EQ
2012-10-15,00:07:18,545,3.2,0.0,0.0,28.8309,34.7687,0,Aragonese-Deep,EQ
2012-10-18,06:46:39,690,0.0,0.0,3.2,34.7529,33.9191,9,E.Mediter.Sea,EQ
2012-10-25,19:55:20,295,3.1,0.0,0.0,27.2325,34.5957,0,Red-Sea,EQ
2012-11-03,19:57:15,196,3.4,0.0,3.2,33.0598,34.8636,8,Carmel-Tirza,F
2012-11-18,03:54:04,393,3.1,0.0,3.3,33.1009,35.4614,1,Hula-Kinneret,F
2012-11-18,09:19:52,680,3.1,0.0,3.0,31.1523,35.5203,6,Dead-Sea-Basin,EQ
2012-12-01,11:32:47,424,3.2,0.0,0.0,34.4131,32.1580,6,E.Mediter.Sea,EQ
2012-12-24,14:44:39,817,4.2,4.4,4.0,29.9118,35.0879,8,Arava,F
2013-01-06,18:29:26,521,3.2,0.0,3.3,34.8416,36.7296,6,Syria,EQ
2013-01-22,00:35:43,668,3.9,4.1,3.9,27.9123,32.7969,20,Egypt,EQ
2013-01-22,04:47:45,872,3.4,0.0,3.3,35.5497,32.1779,10,E.Mediter.Sea,EQ
2013-03-03,11:22:25,111,4.0,4.2,4.0,35.9400,34.5900,2,E.Mediter.Sea,EQ
2013-03-08,23:20:13,225,3.2,0.0,3.1,29.2451,32.7588,5,Suez,EQ
2013-03-25,12:40:43,222,3.5,0.0,3.4,29.0589,32.2726,31,Egypt,EQ
2013-03-31,01:50:28,887,3.6,0.0,3.6,35.1300,37.3800,2,Syria,EQ
2013-03-31,07:29:54,262,3.5,0.0,3.6,35.1100,37.4100,2,Palmira,EQ
2013-04-07,15:57:50,384,4.7,4.7,4.8,27.0223,34.2054,1,Red-Sea,EQ
2013-04-11,03:56:08,450,3.9,4.1,3.9,27.9840,33.4684,1,Suez,EQ
2013-04-15,09:31:11,614,3.1,0.0,3.0,27.5670,34.9484,6,Red-Sea,EQ
2013-06-01,08:43:46,757,3.1,0.0,3.0,31.0472,35.4520,10,Dead-Sea-Basin,EQ
2013-06-01,11:49:29,287,5.0,4.9,5.0,28.4516,33.0066,26,Suez,F
2013-06-04,09:02:27,374,3.8,0.0,3.5,28.0924,34.8958,2,Red-Sea,EQ
2013-06-15,09:51:47,651,3.0,0.0,3.0,29.3409,34.2732,12,Sinai,EQ
2013-08-08,08:25:41,152,3.2,0.0,3.2,34.2063,34.5214,31,E.Mediter.Sea,EQ
2013-08-24,14:33:56,233,3.5,0.0,3.2,28.1816,34.7956,4,Saudi-Arabia,EQ
2013-09-12,01:20:03,309,3.3,0.0,3.0,31.7585,35.5559,15,Dead-Sea-Basin,F
2013-10-02,14:07:02,828,3.1,0.0,3.3,29.1462,32.4920,31,Suez,EQ
2013-10-06,08:44:39,717,3.3,0.0,3.2,27.8871,34.5604,5,Arnona-Dakar-Deep,EQ
2013-10-15,01:15:34,926,3.5,0.0,3.2,34.7745,33.9184,9,E.Mediter.Sea,EQ
2013-10-17,18:17:53,286,3.5,0.0,3.6,32.8501,35.5624,2,Hula-Kinneret,F
2013-10-18,23:30:30,297,3.0,0.0,3.3,32.8507,35.5665,3,Hula-Kinneret,F
2013-10-20,08:50:03,968,3.6,0.0,3.7,32.8570,35.5671,4,Hula-Kinneret,F
2013-10-20,12:54:06,416,3.5,0.0,3.6,32.8642,35.5675,5,Hula-Kinneret,F
2013-10-22,05:40:50,441,3.3,0.0,3.0,32.8436,35.5632,3,Hula-Kinneret,F
2013-10-23,12:33:53,314,3.3,0.0,3.0,29.4775,34.8924,10,Arava,EQ
2013-11-22,12:00:26,513,3.6,4.1,3.6,35.2577,32.0236,40,E.Mediter.Sea,EQ
2013-11-25,07:28:17,732,3.0,0.0,3.0,34.4785,32.3884,9,E.Mediter.Sea,EQ
2013-11-26,13:17:58,830,2.6,0.0,3.1,34.6633,36.0048,19,Syria,EQ
2013-12-07,11:22:45,261,3.2,0.0,3.1,31.4317,35.0535,2,Central-Israel,EQ
2013-12-12,21:02:22,969,3.4,0.0,3.1,31.3613,35.2125,6,Central-Israel,F
2014-01-13,13:01:45,45,3.6,0.0,3.3,32.9242,35.6345,8,Hula-Kinneret,F
2014-01-24,12:31:08,602,3.0,0.0,3.1,29.7454,34.5780,1,East-Sinai,EQ
2014-01-28,03:19:17,947,4.3,4.3,4.0,28.5988,34.5826,1,Arnona-Dakar-Deep,EQ
2014-01-28,03:52:12,487,3.3,0.0,2.8,28.5742,34.5792,1,Arnona-Dakar-Deep,EQ
2014-01-30,06:39:02,687,3.2,0.0,2.9,27.8436,34.9038,20,Red-Sea,EQ
2014-02-03,18:29:46,654,3.8,4.1,3.6,34.7238,32.7204,12,Cyprus,EQ
2014-02-11,09:55:28,353,3.0,0.0,3.0,29.3182,32.6753,5,Suez,EQ
2014-02-24,00:52:13,783,3.1,0.0,2.9,33.2348,35.3983,1,Lebanon,EQ
2014-02-28,19:24:01,102,3.2,0.0,2.9,32.2589,35.3441,5,E.Shomron,F
2014-03-07,19:36:59,492,4.0,4.1,3.5,28.0857,34.6693,4,Arnona-Dakar-Deep,EQ
2014-03-10,00:44:36,25,2.8,0.0,3.0,27.1798,36.0852,1,Saudi-Arabia,EQ
2014-03-15,11:57:48,693,4.3,4.4,3.9,27.5825,34.7478,1,Red-Sea,EQ
2014-03-15,12:55:06,547,3.2,0.0,3.0,27.9763,34.8007,1,Red-Sea,EQ
2014-03-16,06:26:06,205,3.1,0.0,2.9,35.0900,34.4228,30,E.Mediter.Sea,EQ
2014-03-19,06:55:57,507,2.6,0.0,3.2,34.5061,33.0762,9,E.Mediter.Sea,EQ
2014-03-23,04:55:43,888,3.6,0.0,3.4,34.3851,34.0116,30,E.Mediter.Sea,EQ
2014-04-08,06:43:30,51,3.0,0.0,2.7,28.4606,34.6632,1,Arnona-Dakar-Deep,EQ
2014-04-08,10:00:03,506,3.0,0.0,2.9,29.2252,32.9110,3,Suez,EQ
2014-04-13,23:37:39,827,3.8,0.0,3.7,28.1913,32.9552,30,Suez,EQ
2014-04-24,14:32:23,389,3.7,0.0,3.4,27.9580,34.6559,10,Arnona-Dakar-Deep,EQ
2014-04-26,04:04:35,145,3.7,4.0,3.7,35.8401,32.1919,60,E.Mediter.Sea,EQ
2014-05-20,13:27:20,286,3.1,0.0,3.1,29.1353,32.7762,1,Suez,EQ
2014-05-24,07:27:30,657,4.6,4.6,4.2,30.4765,35.3005,20,Arava,F
2014-05-25,12:22:54,440,3.9,4.0,3.6,34.1747,35.4620,8,E.Mediter.Sea,EQ
2014-06-02,23:17:44,643,3.1,0.0,3.0,34.3539,32.1800,10,E.Mediter.Sea,EQ
2014-06-05,11:17:38,177,3.3,0.0,3.1,34.8242,33.9031,9,E.Mediter.Sea,EQ
2014-06-14,07:18:21,111,3.1,0.0,2.6,29.9221,35.0606,8,Arava,EQ
2014-06-19,20:30:50,175,4.3,4.4,4.1,35.5627,32.0045,50,E.Mediter.Sea,EQ
2014-06-30,09:08:05,399,3.0,0.0,2.7,32.5207,35.4128,14,E.Shomron,EQ
2014-06-30,16:35:23,919,3.3,0.0,3.3,35.0100,33.9300,45,Cyprus,EQ
2014-07-02,10:05:46,883,3.5,0.0,3.3,33.4030,34.6424,18,E.Mediter.Sea,F
2014-07-05,15:45:33,347,3.7,4.0,3.4,29.8767,32.5362,1,Suez,EQ
2014-07-05,21:41:34,222,4.0,4.1,3.7,33.5590,35.5598,1,Roum,F
2014-07-18,20:01:26,995,4.3,4.4,4.4,30.1085,32.1472,6,Suez,EQ
2014-07-22,03:03:45,75,4.6,4.6,4.3,29.7951,32.4226,30,Suez,EQ
2014-07-31,00:09:17,652,3.1,0.0,2.8,29.8039,32.4429,26,Suez,EQ
2014-08-02,14:38:06,330,2.3,0.0,3.1,34.7185,32.7683,10,Cyprus,EQ
2014-08-18,02:02:53,57,3.0,0.0,2.8,35.2671,37.2562,0,Syria,EQ
2014-09-01,20:50:08,43,4.0,4.1,3.7,34.1535,36.1606,0,Yamune,EQ
2014-09-22,07:25:38,753,3.8,0.0,3.5,35.3077,35.5198,17,E.Mediter.Sea,EQ
2014-09-29,21:43:05,59,3.0,0.0,3.0,34.7600,33.8227,30,E.Mediter.Sea,EQ
2014-10-16,21:42:40,25,3.1,0.0,3.0,27.0823,34.5773,1,Red-Sea,EQ
2014-10-19,17:47:59,796,3.1,0.0,2.7,28.7622,34.5051,1,Aragonese-Deep,EQ
2014-10-25,10:43:33,890,3.1,0.0,3.4,34.0710,37.1875,3,Palmira,EQ
2014-11-11,04:30:17,416,3.6,4.1,3.5,33.7761,32.1904,25,E.Mediter.Sea,EQ
