AA.DIM..BLE | 2004-02-11T08:15:41.525000Z - 2004-02-11T08:15:41.540000Z | 200.0 Hz, 4 samples
AA.DIM..BLE | 2004-02-11T08:15:41.570000Z - 2004-02-11T08:15:41.665000Z | 200.0 Hz, 20 samples
AA.DIM..BLE | 2004-02-11T08:15:41.695000Z - 2004-02-11T08:15:41.945000Z | 200.0 Hz, 51 samples
AA.DIM..BLE | 2004-02-11T08:15:41.980000Z - 2004-02-11T08:15:42.210000Z | 200.0 Hz, 47 samples
AA.DIM..BLE | 2004-02-11T08:15:42.250000Z - 2004-02-11T08:15:42.345000Z | 200.0 Hz, 20 samples
AA.DIM..BLE | 2004-02-11T08:15:42.375000Z - 2004-02-11T08:15:42.635000Z | 200.0 Hz, 53 samples
AA.DIM..BLE | 2004-02-11T08:15:42.675000Z - 2004-02-11T08:15:42.975000Z | 200.0 Hz, 61 samples
AA.DIM..BLE | 2004-02-11T08:15:43.030000Z - 2004-02-11T08:15:43.040000Z | 200.0 Hz, 3 samples
AA.DIM..BLE | 2004-02-11T08:15:43.070000Z - 2004-02-11T08:15:43.165000Z | 200.0 Hz, 20 samples
AA.DIM..BLE | 2004-02-11T08:15:43.195000Z - 2004-02-11T08:15:43.210000Z | 200.0 Hz, 4 samples
AA.DIM..BLE | 2004-02-11T08:15:43.240000Z - 2004-02-11T08:15:43.440000Z | 200.0 Hz, 41 samples
AA.DIM..BLE | 2004-02-11T08:15:43.470000Z - 2004-02-11T08:15:43.490000Z | 200.0 Hz, 5 samples
AA.DIM..BLE | 2004-02-11T08:15:43.540000Z - 2004-02-11T08:15:43.550000Z | 200.0 Hz, 3 samples
AA.DIM..BLE | 2004-02-11T08:15:43.580000Z - 2004-02-11T08:15:43.630000Z | 200.0 Hz, 11 samples
AA.DIM..BLE | 2004-02-11T08:15:43.710000Z - 2004-02-11T08:15:44.020000Z | 200.0 Hz, 63 samples
AA.DIM..BLE | 2004-02-11T08:15:44.060000Z - 2004-02-11T08:15:44.260000Z | 200.0 Hz, 41 samples
AA.DIM..BLE | 2004-02-11T08:15:44.295000Z - 2004-02-11T08:15:44.405000Z | 200.0 Hz, 23 samples
AA.DIM..BLE | 2004-02-11T08:15:44.450000Z - 2004-02-11T08:15:44.575000Z | 200.0 Hz, 26 samples
AA.DIM..BLE | 2004-02-11T08:15:44.615000Z - 2004-02-11T08:15:44.695000Z | 200.0 Hz, 17 samples
