dateEQ: 2008-02-03T17:05:21,
magnitude: 3.5,
Epicenter Lat: 28.8183,
Epicenter Long: 34.8694,
Depth: 10.7196
AA, ALM, BHE, 31.78961, 35.46107, 334.271045829, 0
AA, DA1, BLE, 31.23, 35.398, 272.161828544, 0
AA, DA1, BLN, 31.23, 35.398, 272.161828544, 0
AA, DA1, BLZ, 31.23, 35.398, 272.161828544, 0
AA, DA2, BHE, 31.176, 35.441, 267.111252546, 0
AA, DA2, BHN, 31.176, 35.441, 267.111252546, 0
AA, DA2, BHZ, 31.176, 35.441, 267.111252546, 0
AA, DA2, BLE, 31.176, 35.441, 267.111252546, 0
AA, DA2, BLN, 31.176, 35.441, 267.111252546, 0
AA, DA2, BLZ, 31.176, 35.441, 267.111252546, 0
AA, DA3, BHE, 31.082, 35.446, 257.032616929, 0
AA, DA3, BHN, 31.082, 35.446, 257.032616929, 0
AA, DA3, BHZ, 31.082, 35.446, 257.032616929, 0
AA, DA3, BLE, 31.082, 35.446, 257.032616929, 0
AA, DA3, BLN, 31.082, 35.446, 257.032616929, 0
AA, DA3, BLZ, 31.082, 35.446, 257.032616929, 0
AA, DAM1, BHE, 31.23125, 35.39668, 272.2740991, 0
AA, DAM1, BHN, 31.23125, 35.39668, 272.2740991, 0
AA, DAM1, BHZ, 31.23125, 35.39668, 272.2740991, 0
AA, DAM1, BLE, 31.23125, 35.39668, 272.2740991, 0
AA, DAM1, BLN, 31.23125, 35.39668, 272.2740991, 0
AA, DAM1, BLZ, 31.23125, 35.39668, 272.2740991, 0
AA, DIM, BHE, 31.001, 35.142, 243.382100823, 0
AA, DIM, BHN, 31.001, 35.142, 243.382100823, 0
AA, DIM, BHZ, 31.001, 35.142, 243.382100823, 0
AA, DIM, BLE, 31.001, 35.142, 243.382100823, 0
AA, DIM, BLN, 31.001, 35.142, 243.382100823, 0
AA, DIM, BLZ, 31.001, 35.142, 243.382100823, 0
AA, EFR, BHE, 32.07085, 35.40339, 364.205876273, 0
AA, EFR, BHN, 32.07085, 35.40339, 364.205876273, 0
AA, EFR, BHZ, 32.07085, 35.40339, 364.205876273, 0
AA, EFR, BLE, 32.07085, 35.40339, 364.205876273, 0
AA, EFR, BLN, 32.07085, 35.40339, 364.205876273, 0
AA, EFR, BLZ, 32.07085, 35.40339, 364.205876273, 0
AA, EIL, BLE, 29.56517, 34.94902, 83.1436694001, 0
AA, EIL, BLN, 29.56517, 34.94902, 83.1436694001, 0
AA, EIL, BLZ, 29.56517, 34.94902, 83.1436694001, 0
AA, EILT, BHE, 31.5918, 35.3933, 311.568316027, 0
AA, EILT, BHN, 31.5918, 35.3933, 311.568316027, 0
AA, EILT, BHZ, 31.5918, 35.3933, 311.568316027, 0
AA, EILT, BLE, 31.5918, 35.3933, 311.568316027, 0
AA, EILT, BLN, 31.5918, 35.3933, 311.568316027, 0
AA, EILT, BLZ, 31.5918, 35.3933, 311.568316027, 0
AA, ELOT, BHE, 29.58234, 34.96373, 85.1809029629, 0
AA, ELOT, BHN, 29.58234, 34.96373, 85.1809029629, 0
AA, ELOT, BHZ, 29.58234, 34.96373, 85.1809029629, 0
AA, ELOT, BLE, 29.58234, 34.96373, 85.1809029629, 0
AA, ELOT, BLN, 29.58234, 34.96373, 85.1809029629, 0
AA, ELOT, BLZ, 29.58234, 34.96373, 85.1809029629, 0
AA, GOS, BHE, 33.21959, 35.62411, 493.258326162, 0
AA, GOS, BHN, 33.21959, 35.62411, 493.258326162, 0
AA, GOS, BHZ, 33.21959, 35.62411, 493.258326162, 0
AA, GOS, BLE, 33.21959, 35.62411, 493.258326162, 0
AA, GOS, BLN, 33.21959, 35.62411, 493.258326162, 0
AA, GOS, BLZ, 33.21959, 35.62411, 493.258326162, 0
AA, HAC, BHE, 32.81151, 35.02058, 442.949328229, 0
AA, HAC, BHN, 32.81151, 35.02058, 442.949328229, 0
AA, HAC, BHZ, 32.81151, 35.02058, 442.949328229, 0
AA, HAC, BLE, 32.81151, 35.02058, 442.949328229, 0
AA, HAC, BLN, 32.81151, 35.02058, 442.949328229, 0
AA, HAC, BLZ, 32.81151, 35.02058, 442.949328229, 0
AA, HAD, BHE, 32.46655, 34.88686, 404.46130797, 0
AA, HAD, BHN, 32.46655, 34.88686, 404.46130797, 0
AA, HAD, BHZ, 32.46655, 34.88686, 404.46130797, 0
AA, HAD, BLE, 32.46655, 34.88686, 404.46130797, 0
AA, HAD, BLN, 32.46655, 34.88686, 404.46130797, 0
AA, HAD, BLZ, 32.46655, 34.88686, 404.46130797, 0
AA, HAI, BHE, 32.89032, 35.09952, 451.989197883, 0
AA, HAI, BHN, 32.89032, 35.09952, 451.989197883, 0
AA, HAI, BHZ, 32.89032, 35.09952, 451.989197883, 0
AA, HAI, BLE, 32.89032, 35.09952, 451.989197883, 0
AA, HAI, BLN, 32.89032, 35.09952, 451.989197883, 0
AA, HAI, BLZ, 32.89032, 35.09952, 451.989197883, 0
AA, HAR, BHE, 30.03645, 35.03686, 135.997442995, 0
AA, HAR, BHN, 30.03645, 35.03686, 135.997442995, 0
AA, HAR, BHZ, 30.03645, 35.03686, 135.997442995, 0
AA, HAR, BLE, 30.03645, 35.03686, 135.997442995, 0
AA, HAR, BLN, 30.03645, 35.03686, 135.997442995, 0
AA, HAR, BLZ, 30.03645, 35.03686, 135.997442995, 0
AA, HAT, BHE, 32.77891, 35.024, 439.346880084, 0
AA, HAT, BHN, 32.77891, 35.024, 439.346880084, 0
AA, HAT, BHZ, 32.77891, 35.024, 439.346880084, 0
AA, HAT, BLE, 32.77891, 35.024, 439.346880084, 0
AA, HAT, BLN, 32.77891, 35.024, 439.346880084, 0
AA, HAT, BLZ, 32.77891, 35.024, 439.346880084, 0
AA, HLN, BHE, 32.01717, 34.7702, 354.753616417, 0
AA, HLN, BHN, 32.01717, 34.7702, 354.753616417, 0
AA, HLN, BHZ, 32.01717, 34.7702, 354.753616417, 0
AA, HLN, BLE, 32.01717, 34.7702, 354.753616417, 0
AA, HLN, BLN, 32.01717, 34.7702, 354.753616417, 0
AA, HLN, BLZ, 32.01717, 34.7702, 354.753616417, 0
AA, HUL, BHE, 33.05044, 35.61118, 474.531500339, 0
AA, HUL, BHN, 33.05044, 35.61118, 474.531500339, 0
AA, HUL, BHZ, 33.05044, 35.61118, 474.531500339, 0
AA, HUL, BLE, 33.05044, 35.61118, 474.531500339, 0
AA, HUL, BLN, 33.05044, 35.61118, 474.531500339, 0
AA, HUL, BLZ, 33.05044, 35.61118, 474.531500339, 0
AA, IZR, BHE, 32.56284, 35.32262, 417.399244991, 0
AA, IZR, BHN, 32.56284, 35.32262, 417.399244991, 0
AA, IZR, BHZ, 32.56284, 35.32262, 417.399244991, 0
AA, IZR, BLE, 32.56284, 35.32262, 417.399244991, 0
AA, IZR, BLN, 32.56284, 35.32262, 417.399244991, 0
AA, IZR, BLZ, 32.56284, 35.32262, 417.399244991, 0
AA, JER, BHE, 31.77244, 35.19812, 329.011277207, 0
AA, JER, BHN, 31.77244, 35.19812, 329.011277207, 0
AA, JER, BHZ, 31.77244, 35.19812, 329.011277207, 0
AA, JER, BLE, 31.77244, 35.19812, 329.011277207, 0
AA, JER, BLN, 31.77244, 35.19812, 329.011277207, 0
AA, JER, BLZ, 31.77244, 35.19812, 329.011277207, 0
AA, KAZ, BHE, 32.98679, 35.69202, 468.789740011, 0
AA, KAZ, BHN, 32.98679, 35.69202, 468.789740011, 0
AA, KAZ, BHZ, 32.98679, 35.69202, 468.789740011, 0
AA, KAZ, BLE, 32.98679, 35.69202, 468.789740011, 0
AA, KAZ, BLN, 32.98679, 35.69202, 468.789740011, 0
AA, KAZ, BLZ, 32.98679, 35.69202, 468.789740011, 0
AA, KFR, BHE, 31.65, 35.115, 314.80098605, 0
AA, KFR, BHN, 31.65, 35.115, 314.80098605, 0
AA, KFR, BHZ, 31.65, 35.115, 314.80098605, 0
AA, KFR, BLE, 31.65, 35.115, 314.80098605, 0
AA, KFR, BLN, 31.65, 35.115, 314.80098605, 0
AA, KFR, BLZ, 31.65, 35.115, 314.80098605, 0
AA, KIT, BHE, 33.20682, 35.5686, 491.11006851, 0
AA, KIT, BHN, 33.20682, 35.5686, 491.11006851, 0
AA, KIT, BHZ, 33.20682, 35.5686, 491.11006851, 0
AA, KIT, BLE, 33.20682, 35.5686, 491.11006851, 0
AA, KIT, BLN, 33.20682, 35.5686, 491.11006851, 0
AA, KIT, BLZ, 33.20682, 35.5686, 491.11006851, 0
AA, LAV, BHE, 31.38146, 34.8706, 284.137128852, 0
AA, LAV, BHN, 31.38146, 34.8706, 284.137128852, 0
AA, LAV, BHZ, 31.38146, 34.8706, 284.137128852, 0
AA, LAV, BLE, 31.38146, 34.8706, 284.137128852, 0
AA, LAV, BLN, 31.38146, 34.8706, 284.137128852, 0
AA, LAV, BLZ, 31.38146, 34.8706, 284.137128852, 0
AA, LOD, BHE, 31.96014, 34.90205, 348.315889994, 0
AA, LOD, BHN, 31.96014, 34.90205, 348.315889994, 0
AA, LOD, BHZ, 31.96014, 34.90205, 348.315889994, 0
AA, LOD, BLE, 31.96014, 34.90205, 348.315889994, 0
AA, LOD, BLN, 31.96014, 34.90205, 348.315889994, 0
AA, LOD, BLZ, 31.96014, 34.90205, 348.315889994, 0
AA, MAD, BHE, 31.00326, 34.78449, 242.343754301, 0
AA, MAD, BHN, 31.00326, 34.78449, 242.343754301, 0
AA, MAD, BHZ, 31.00326, 34.78449, 242.343754301, 0
AA, MAD, BLE, 31.00326, 34.78449, 242.343754301, 0
AA, MAD, BLN, 31.00326, 34.78449, 242.343754301, 0
AA, MAD, BLZ, 31.00326, 34.78449, 242.343754301, 0
AA, MAN, BHE, 33.19538, 35.5455, 489.558128986, 0
AA, MAN, BHN, 33.19538, 35.5455, 489.558128986, 0
AA, MAN, BHZ, 33.19538, 35.5455, 489.558128986, 0
AA, MAN, BLE, 33.19538, 35.5455, 489.558128986, 0
AA, MAN, BLN, 33.19538, 35.5455, 489.558128986, 0
AA, MAN, BLZ, 33.19538, 35.5455, 489.558128986, 0
AA, MAS, BHE, 32.68349, 35.59804, 434.15391995, 0
AA, MAS, BHN, 32.68349, 35.59804, 434.15391995, 0
AA, MAS, BHZ, 32.68349, 35.59804, 434.15391995, 0
AA, MAS, BLE, 32.68349, 35.59804, 434.15391995, 0
AA, MAS, BLN, 32.68349, 35.59804, 434.15391995, 0
AA, MAS, BLZ, 32.68349, 35.59804, 434.15391995, 0
AA, MIFC, BHE, 31.048, 35.367, 251.790229532, 0
AA, MIFC, BHN, 31.048, 35.367, 251.790229532, 0
AA, MIFC, BHZ, 31.048, 35.367, 251.790229532, 0
AA, MIFC, BLE, 31.048, 35.367, 251.790229532, 0
AA, MIFC, BLN, 31.048, 35.367, 251.790229532, 0
AA, MIFC, BLZ, 31.048, 35.367, 251.790229532, 0
AA, MIZ, BHE, 31.56933, 35.40012, 309.218764171, 0
AA, MIZ, BHN, 31.56933, 35.40012, 309.218764171, 0
AA, MIZ, BHZ, 31.56933, 35.40012, 309.218764171, 0
AA, MIZ, BLE, 31.56933, 35.40012, 309.218764171, 0
AA, MIZ, BLN, 31.56933, 35.40012, 309.218764171, 0
AA, MIZ, BLZ, 31.56933, 35.40012, 309.218764171, 0
AA, MRM, BHE, 30.59757, 34.76189, 197.501925877, 0
AA, MRM, BHN, 30.59757, 34.76189, 197.501925877, 0
AA, MRM, BHZ, 30.59757, 34.76189, 197.501925877, 0
AA, MRM, BLE, 30.59757, 34.76189, 197.501925877, 0
AA, MRM, BLN, 30.59757, 34.76189, 197.501925877, 0
AA, MRM, BLZ, 30.59757, 34.76189, 197.501925877, 0
AA, NAZ, BHE, 32.69968, 35.27372, 432.047635959, 0
AA, NAZ, BHN, 32.69968, 35.27372, 432.047635959, 0
AA, NAZ, BHZ, 32.69968, 35.27372, 432.047635959, 0
AA, NAZ, BLE, 32.69968, 35.27372, 432.047635959, 0
AA, NAZ, BLN, 32.69968, 35.27372, 432.047635959, 0
AA, NAZ, BLZ, 32.69968, 35.27372, 432.047635959, 0
AA, NET, BHE, 30.991, 35.362, 245.498414004, 0
AA, NET, BHN, 30.991, 35.362, 245.498414004, 0
AA, NET, BHZ, 30.991, 35.362, 245.498414004, 0
AA, NET, BLE, 30.991, 35.362, 245.498414004, 0
AA, NET, BLN, 30.991, 35.362, 245.498414004, 0
AA, NET, BLZ, 30.991, 35.362, 245.498414004, 0
AA, NTY, BHE, 32.31979, 34.88704, 388.186772178, 0
AA, NTY, BHN, 32.31979, 34.88704, 388.186772178, 0
AA, NTY, BHZ, 32.31979, 34.88704, 388.186772178, 0
AA, NTY, BLE, 32.31979, 34.88704, 388.186772178, 0
AA, NTY, BLN, 32.31979, 34.88704, 388.186772178, 0
AA, NTY, BLZ, 32.31979, 34.88704, 388.186772178, 0
AA, P005, BHE, 31.2352, 35.3677, 272.196799808, 0
AA, P005, BHN, 31.2352, 35.3677, 272.196799808, 0
AA, P005, BHZ, 31.2352, 35.3677, 272.196799808, 0
AA, P005, BLE, 31.2352, 35.3677, 272.196799808, 0
AA, P005, BLN, 31.2352, 35.3677, 272.196799808, 0
AA, P005, BLZ, 31.2352, 35.3677, 272.196799808, 0
AA, P088, BHE, 31.32826, 35.40125, 282.92280039, 0
AA, P088, BHN, 31.32826, 35.40125, 282.92280039, 0
AA, P088, BHZ, 31.32826, 35.40125, 282.92280039, 0
AA, P088, BLE, 31.32826, 35.40125, 282.92280039, 0
AA, P088, BLN, 31.32826, 35.40125, 282.92280039, 0
AA, P088, BLZ, 31.32826, 35.40125, 282.92280039, 0
AA, PET, BHE, 32.08946, 34.87435, 362.642012304, 0
AA, PET, BHN, 32.08946, 34.87435, 362.642012304, 0
AA, PET, BHZ, 32.08946, 34.87435, 362.642012304, 0
AA, PET, BLE, 32.08946, 34.87435, 362.642012304, 0
AA, PET, BLN, 32.08946, 34.87435, 362.642012304, 0
AA, PET, BLZ, 32.08946, 34.87435, 362.642012304, 0
AA, POR, BHE, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BHN, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BHZ, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLE, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLN, 32.75144, 35.5405, 440.753683182, 0
AA, POR, BLZ, 32.75144, 35.5405, 440.753683182, 0
AA, RDG, BHE, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BHN, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BHZ, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLE, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLN, 32.10414, 34.77757, 364.376225097, 0
AA, RDG, BLZ, 32.10414, 34.77757, 364.376225097, 0
AA, REH, BHE, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BHN, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BHZ, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLE, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLN, 31.87552, 34.81699, 338.956084224, 0
AA, REH, BLZ, 31.87552, 34.81699, 338.956084224, 0
AA, ROD1, BHE, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BHN, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BHZ, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLE, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLN, 29.58002, 34.97787, 85.0847760122, 0
AA, ROD1, BLZ, 29.58002, 34.97787, 85.0847760122, 0
AA, ROI, BHE, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BHN, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BHZ, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLE, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLN, 32.24821, 35.48796, 384.848227577, 0
AA, ROI, BLZ, 32.24821, 35.48796, 384.848227577, 0
AA, ROSH, BHE, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BHN, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BHZ, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLE, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLN, 32.97043, 35.54647, 464.863052063, 0
AA, ROSH, BLZ, 32.97043, 35.54647, 464.863052063, 0
AA, RTM, BHE, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BHN, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BHZ, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLE, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLN, 31.06535, 35.19728, 251.091701461, 0
AA, RTM, BLZ, 31.06535, 35.19728, 251.091701461, 0
AA, SVT, BHE, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BHN, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BHZ, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLE, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLN, 30.90679, 34.39781, 235.949834009, 0
AA, SVT, BLZ, 30.90679, 34.39781, 235.949834009, 0
AA, TMR, BHE, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BHN, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BHZ, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLE, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLN, 31.06535, 35.19728, 251.091701461, 0
AA, TMR, BLZ, 31.06535, 35.19728, 251.091701461, 0
AA, TVR, BHE, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BHN, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BHZ, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLE, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLN, 32.79643, 35.53593, 445.62545888, 0
AA, TVR, BLZ, 32.79643, 35.53593, 445.62545888, 0
AA, YIT, BHE, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BHN, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BHZ, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLE, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLN, 31.94663, 35.42334, 350.864673649, 0
AA, YIT, BLZ, 31.94663, 35.42334, 350.864673649, 0
AA, ZEF, BHE, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BHN, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BHZ, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLE, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLN, 32.96866, 35.49344, 463.990184928, 0
AA, ZEF, BLZ, 32.96866, 35.49344, 463.990184928, 0
AA, ZOF, BHE, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BHN, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BHZ, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLE, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLN, 30.56217, 35.18231, 195.660876145, 0
AA, ZOF, BLZ, 30.56217, 35.18231, 195.660876145, 0
GE, GSI, BLE, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, BLN, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, BLZ, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLE, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLN, 1.3039, 97.5755, 7299.99810035, 0
GE, GSI, HLZ, 1.3039, 97.5755, 7299.99810035, 0
IS, AMAZ, BHE, 31.5325, 34.9154, 300.91662658, 0
IS, AMAZ, BHN, 31.5325, 34.9154, 300.91662658, 0
IS, AMAZ, BHZ, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHE, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHN, 31.5325, 34.9154, 300.91662658, 0
IS, AMZI, BHZ, 31.5325, 34.9154, 300.91662658, 0
IS, ARVI, SHZ, 30.64, 35.187, 204.255704536, 0
IS, ATR, SHE, 30.96825, 34.6431, 239.32353283, 0
IS, ATR, SHN, 30.96825, 34.6431, 239.32353283, 0
IS, ATR, SHZ, 30.96825, 34.6431, 239.32353283, 0
IS, BGIO, SHZ, 31.722, 35.092, 322.607384545, 0
IS, BLGI, SHZ, 32.73338, 35.19126, 435.139877892, 0
IS, DRGI, SHZ, 31.593, 35.392, 311.679341569, 0
IS, DSI, SHE, 31.5933, 35.3922, 311.715264693, 3.69066083344e-05
IS, DSI, SHN, 31.5933, 35.3922, 311.715264693, 8.93476671564e-05
IS, DSI, SHZ, 31.5933, 35.3922, 311.715264693, 1.62569826084e-05
IS, DSI0, SHZ, 31.5918, 35.3933, 311.568316027, 1.58040496274e-07
IS, DSI1, SHZ, 31.59, 35.392, 311.351195955, 0
IS, EIL, SHE, 29.6712, 34.952, 94.8756536241, 0
IS, EIL, SHN, 29.6712, 34.952, 94.8756536241, 0
IS, EIL, SHZ, 29.6712, 34.952, 94.8756536241, 0
IS, ENGI, SHZ, 31.4695, 35.3944, 298.218153031, 0
IS, GEM, BHE, 33.2106, 35.66312, 492.831025376, 0
IS, GEM, BHN, 33.2106, 35.66312, 492.831025376, 0
IS, GEM, BHZ, 33.2106, 35.66312, 492.831025376, 0
IS, GLH, SHZ, 32.713, 35.649, 438.186538149, 0
IS, GLH0, SHZ, 32.713, 35.649, 438.186538149, 0
IS, HAFI, SHE, 32.778, 35.024, 439.246020263, 0
IS, HAFI, SHN, 32.778, 35.024, 439.246020263, 0
IS, HAFI, SHZ, 32.778, 35.024, 439.246020263, 0
IS, HMDT, SHZ, 32.2529, 35.526, 385.940667903, 1.59004961502e-07
IS, HNT0, SHZ, 33.0827, 35.1741, 473.683938336, 1.034719427e-07
IS, HNTI, SHE, 33.0827, 35.1741, 473.683938336, 5.01299216925e-06
IS, HNTI, SHN, 33.0827, 35.1741, 473.683938336, 5.20049095277e-06
IS, HNTI, SHZ, 33.0827, 35.1741, 473.683938336, 0
IS, HRFI, BHE, 30.04, 35.03, 136.31042891, 6.94396902501e-05
IS, HRFI, BHN, 30.04, 35.03, 136.31042891, 6.66362978655e-05
IS, HRFI, BHZ, 30.04, 35.03, 136.31042891, 9.18249237548e-05
IS, HRI, SHZ, 33.266, 35.7338, 499.967848565, 0
IS, HRI0, SHZ, 33.266, 35.7338, 499.967848565, 1.2527467099e-06
IS, HRMI, SHE, 33.268, 35.75, 500.44365669, 0
IS, HRMI, SHN, 33.268, 35.75, 500.44365669, 0
IS, HRMI, SHZ, 33.268, 35.75, 500.44365669, 0
IS, HRSH, SHZ, 32.698, 35.28, 431.916375384, 0
IS, JVI, SHE, 31.938, 35.339, 348.778315786, 0
IS, JVI, SHN, 31.938, 35.339, 348.778315786, 0
IS, JVI, SHZ, 31.938, 35.339, 348.778315786, 0
IS, KER, SHZ, 30.9952, 34.4436, 244.789352651, 0
IS, KMT0, SHZ, 30.1177, 34.7257, 144.702923738, 0
IS, KMTI, SHE, 30.1043, 34.7251, 143.230220243, 0
IS, KMTI, SHN, 30.1043, 34.7251, 143.230220243, 0
IS, KMTI, SHZ, 30.1043, 34.7251, 143.230220243, 0
IS, KRM0, SHZ, 30.11744, 34.72503, 144.68051247, 0
IS, KRMI, SHE, 30.1178, 34.7257, 144.713956975, 0.000329681713012
IS, KRMI, SHN, 30.1178, 34.7257, 144.713956975, 0.000201003890337
IS, KRMI, SHZ, 30.1178, 34.7257, 144.713956975, 0.000139233339955
IS, KSDI, SHZ, 33.192, 35.6576, 490.71288577, 0
IS, KSH0, SHZ, 32.982, 35.811, 470.308614065, 1.48698803197e-07
IS, KSHT, SHZ, 32.982, 35.811, 470.308614065, 0
IS, KZIT, BHE, 30.9067, 34.3979, 235.938368938, 0.000175084464943
