Date,Time(UTC),Millisecond,Md,Mb,Mw,Lat,Long,Depth(Km),Region,Type,Mw1,Mo,Mw2
3/3/2010,20:33:20,996,3.2,0,0,34.4379,32.7691,10,E.Mediter.Sea,EQ,3,13.5756,3
3/9/2010,0:50:49,875,3.6,0,0,33.5055,34.8017,18,E.Mediter.Sea,F,3.4,14.0124,3.3
3/9/2010,19:58:03,441,3.7,0,0,27.6239,33.6646,15,Suez,EQ,3.4,14.1311,3.4
3/14/2010,4:46:13,305,3.3,0,0,34.4824,32.2194,10,E.Mediter.Sea,EQ,3.1,13.6791,3.1
3/20/2010,18:45:29,566,3.6,0,0,32.9131,35.62,13,Hula-Kinneret,F,3.4,14.0124,3.3
4/15/2010,14:57:41,548,3.1,0,0,34.62,33.1801,2,E.Mediter.Sea,EQ,2.9,13.4759,2.9
4/25/2010,2:26:01,821,3.3,0,0,34.6901,32.741,9,Cyprus,EQ,3.1,13.6791,3.1
5/11/2010,14:23:28,255,3.1,0,0,34.7568,34.1479,10,E.Mediter.Sea,EQ,2.9,13.4759,2.9
5/15/2010,11:09:42,476,3.1,0,0,34.8573,36.5781,7,Syria,EQ,2.9,13.4759,2.9
5/21/2010,8:23:21,470,3.3,0,0,27.2843,34.9748,14,Red-Sea,EQ,3.1,13.6791,3.1
5/28/2010,19:21:09,259,3,0,0,33.3804,35.5083,0,Lebanon,EQ,2.8,13.38,2.9
5/30/2010,18:12:44,623,4.3,4.4,0,27.8358,34.5974,10,Red-Sea,EQ,4,14.9231,3.9
6/21/2010,19:17:39,71,3,0,0,35.8018,37.4039,0,Syria,EQ,2.8,13.38,2.9
6/26/2010,11:46:58,331,3,0,0,27.6381,34.8106,1,Red-Sea,EQ,2.8,13.38,2.9
7/15/2010,11:25:54,97,4.4,4.4,0,28.9686,34.7589,9,Aragonese-Deep,F,4.1,15.0684,4
7/27/2010,16:07:47,96,3.6,0,0,34.8123,33.3713,15,Cyprus,EQ,3.4,14.0124,3.3
7/27/2010,18:54:36,362,3.1,0,0,27.8742,33.4917,0,Suez,EQ,2.9,13.4759,2.9
8/22/2010,22:25:00,250,3.1,0,3,33.1158,35.4549,4,Hula-Kinneret,F,3,,3
9/5/2010,22:00:27,219,3.1,0,0,28.922,34.6703,0,Aragonese-Deep,EQ,2.9,13.4759,2.9
9/26/2010,10:16:59,188,3.4,0,0,35.5855,37.5844,0,Syria,EQ,3.2,13.7864,3.1
10/19/2010,16:47:58,120,3.5,0,0,30.3965,35.3041,10,Arava,EQ,3.3,13.8975,3.2
10/24/2010,20:07:44,380,3.2,0,0,27.8236,34.0419,0,Suez,EQ,3,13.5756,3
11/3/2010,13:08:54,518,3.1,0,0,34.562,32.7029,0,E.Mediter.Sea,EQ,2.9,13.4759,2.9
11/8/2010,11:47:50,963,3.2,0,0,34.6403,33.9523,10,E.Mediter.Sea,EQ,3,13.5756,3
11/14/2010,18:48:12,466,3,0,0,33.0668,35.5044,0,Hula-Kinneret,F,2.8,13.38,2.9
11/16/2010,2:32:01,107,3.6,0,0,33.1173,35.4431,3,Hula-Kinneret,F,3.4,14.0124,3.3
11/25/2010,10:17:36,73,3.5,0,0,33.1227,35.4442,5,Hula-Kinneret,F,3.3,13.8975,3.2
12/1/2010,5:08:49,974,3.5,0,0,31.5158,35.4137,5,Dead-Sea-Basin,F,3.3,13.8975,3.2
12/4/2010,21:36:31,185,3.2,0,0,28.7598,34.7229,0,Aragonese-Deep,EQ,3,13.5756,3
12/22/2010,17:23:23,537,3.9,4.1,0,27.2963,34.9096,10,Red-Sea,EQ,3.6,14.3799,3.5
12/25/2010,17:01:07,331,3.2,0,0,35.4333,35.0536,25,E.Mediter.Sea,EQ,3,13.5756,3
12/31/2010,8:55:44,554,3.4,0,0,28.8045,32.9028,20,Suez,EQ,3.2,13.7864,3.1
1/1/2011,16:31:07,668,4,4.1,3.9,32.6605,35.6338,3,Jordan-Valley,F,3.9,,3.9
1/4/2011,1:29:29,600,3.2,0,0,34.6403,33.8776,15,E.Mediter.Sea,EQ,3,13.5756,3
1/20/2011,21:38:49,114,3.6,0,3.8,33.089,35.462,3,Hula-Kinneret,F,3.8,,3.8
1/27/2011,5:35:48,722,3.5,0,0,35.9983,32.1397,30,E.Mediter.Sea,EQ,3.3,13.8975,3.2
1/31/2011,11:31:05,198,3.3,0,3.5,33.2371,33.6034,24,E.Mediter.Sea,F,3.5,,3.5
2/2/2011,13:05:39,321,3.1,0,0,27.7739,33.9424,1,Suez,EQ,2.9,13.4759,2.9
2/14/2011,3:54:28,304,3.3,0,0,34.6584,32.9982,10,Cyprus,EQ,3.1,13.6791,3.1
2/17/2011,13:39:46,319,3.3,0,0,27.3397,35.2224,15,Red-Sea,EQ,3.1,13.6791,3.1
3/2/2011,7:50:35,276,3.5,0,0,33.8067,33.8744,31,E.Mediter.Sea,EQ,3.3,13.8975,3.2
3/9/2011,10:04:24,413,3.1,0,0,27.6399,35.7811,1,Saudi-Arabia,EQ,2.9,13.4759,2.9
3/26/2011,16:25:15,516,4.1,4.3,4.2,34.3984,32.2751,10,E.Mediter.Sea,EQ,4.2,,4.2
4/18/2011,12:50:40,903,3.3,0,0,34.8574,34.3698,9,E.Mediter.Sea,EQ,3.1,13.6791,3.1
5/29/2011,19:17:33,325,3.4,0,3.1,33.01,35.8948,5,W.Sirhan,F,3.1,,3.1
6/15/2011,11:32:04,935,3.5,0,0,34.4647,32.8489,5,E.Mediter.Sea,EQ,3.3,13.8975,3.2
6/28/2011,9:29:19,304,3.2,0,0,35.8427,35.4328,0,E.Mediter.Sea,EQ,3,13.5756,3
6/30/2011,10:50:26,347,3.9,4.1,0,27.0028,34.5611,1,Red-Sea,EQ,3.6,14.3799,3.5
7/27/2011,4:44:28,677,0,0,3.9,27.5955,32.6591,80,Egypt,EQ,3.9,,3.9
7/29/2011,20:28:42,89,3.7,0,3.2,27.996,34.8644,2,Red-Sea,EQ,3.2,,3.2
8/3/2011,10:12:42,527,3.3,0,3,30.1376,32.5247,25,Suez,EQ,3,,3
8/7/2011,8:52:28,52,4.2,4.4,3.8,32.5659,34.4817,27,E.Mediter.Sea,F,3.8,,3.8
8/19/2011,10:35:50,127,0,0,3.1,34.5797,32.8203,10,E.Mediter.Sea,EQ,3.1,,3.1
9/10/2011,2:16:30,985,3.4,0,0,27.1875,34.0376,18,Red-Sea,EQ,3.2,13.7864,3.1
10/13/2011,17:14:15,794,3.7,4,0,35.7299,32.1029,30,E.Mediter.Sea,EQ,3.4,14.1311,3.4
10/21/2011,12:37:29,360,3.8,4,3.2,28.5,34.7528,0,Arnona-Dakar-Deep,EQ,3.2,,3.2
10/21/2011,16:07:21,511,3.4,0,0,28.5164,34.6826,0,Arnona-Dakar-Deep,EQ,3.2,13.7864,3.1
10/21/2011,16:36:37,409,4,4.2,0,28.4474,34.8954,0,Saudi-Arabia,EQ,3.7,14.51,3.6
10/21/2011,17:34:06,946,4,4.1,0,28.4957,34.613,0,Arnona-Dakar-Deep,EQ,3.7,14.51,3.6
10/21/2011,17:55:42,475,3.1,0,0,28.5677,34.6711,0,Arnona-Dakar-Deep,EQ,2.9,13.4759,2.9
10/28/2011,5:48:13,278,3.3,0,3.2,34.3869,32.0316,31,E.Mediter.Sea,EQ,3.2,,3.2
11/3/2011,11:23:13,227,3.7,0,3.2,27.8772,34.5881,0,Red-Sea,EQ,3.2,,3.2
11/4/2011,5:37:49,87,3.1,0,2.9,33.9889,34.4808,31,E.Mediter.Sea,EQ,2.9,13.4759,2.9
12/1/2011,19:51:11,772,0,0,3.4,32.869,35.0151,2,Carmel-Tirza,EQ,3.4,,3.4
12/4/2011,20:55:21,870,3.9,4.1,3.4,33.14,35.582,6,Hula-Kinneret,F,3.4,,3.4
1/30/2012,22:57:03,660,3.2,0,0,27.0727,33.9002,10,Red-Sea,EQ,3,13.5756,3
1/31/2012,0:42:17,196,3.2,0,0,27.0925,34.2191,10,Red-Sea,EQ,3,13.5756,3
2/9/2012,11:11:56,703,3.1,0,3,32.8561,35.5594,2,Hula-Kinneret,F,3,,3
2/16/2012,12:46:44,710,3.8,4,0,30.9262,32.2562,0,Sinai,EQ,3.5,14.2536,3.4
3/7/2012,8:47:53,165,3.7,0,3.5,33.2726,35.4094,1,Lebanon,F,3.5,,3.5
3/7/2012,14:06:12,330,3.2,0,0,33.2125,35.4301,0,Lebanon,EQ,3,13.5756,3
3/8/2012,1:15:53,226,3.3,0,0,33.2109,35.4317,0,Lebanon,EQ,3.1,13.6791,3.1
3/9/2012,20:52:56,92,3.6,0,0,34.7273,32.6763,10,Cyprus,EQ,3.4,14.0124,3.3
3/12/2012,2:31:31,601,4.1,4.2,0,27.2463,32.7404,32,Egypt,EQ,3.8,14.6439,3.7
3/22/2012,4:17:04,147,3.7,0,3.4,31.3051,35.4003,22,Dead-Sea-Basin,F,3.4,,3.4
3/24/2012,12:01:08,725,3.2,0,3.4,33.2547,34.584,9,Carmel-Tirza,F,3.4,,3.4
4/18/2012,9:08:33,209,3.5,0,0,27.0374,34.1202,10,Red-Sea,EQ,3.3,13.8975,3.2
4/25/2012,17:52:50,188,3.6,0,0,34.5466,33.0415,16,E.Mediter.Sea,EQ,3.4,14.0124,3.3
4/25/2012,18:16:56,658,3.2,0,0,34.5582,33.033,18,E.Mediter.Sea,EQ,3,13.5756,3
5/3/2012,6:24:29,878,3,0,0,35.819,33.6877,1,E.Mediter.Sea,EQ,2.8,13.38,2.9
5/9/2012,10:48:12,684,4.4,4.5,0,34.699,32.926,20,Cyprus,EQ,4.1,15.0684,4
5/11/2012,18:48:32,664,5.4,5.2,4.8,34.281,34.1513,31,E.Mediter.Sea,F,4.8,,4.8
5/12/2012,18:58:59,60,3.1,0,2.8,34.4855,32.853,9,E.Mediter.Sea,EQ,2.8,,2.8
5/16/2012,0:17:57,618,3.5,0,0,35.4128,35.7791,2,E.Mediter.Sea,EQ,3.3,13.8975,3.2
5/17/2012,5:08:38,221,3.7,0,0,34.54,33.32,10,E.Mediter.Sea,EQ,3.4,14.1311,3.4
6/10/2012,9:29:08,979,4,4.2,0,27.1456,33.9024,10,Red-Sea,EQ,3.7,14.51,3.6
7/10/2012,17:35:00,377,3.3,0,3.2,33.3094,35.3492,2,Lebanon,F,3.2,,3.2
7/10/2012,18:06:00,136,3.1,0,0,27.6994,35.1047,10,Red-Sea,EQ,2.9,13.4759,2.9
7/21/2012,17:02:59,932,3.1,0,2.9,33.2758,35.3647,1,Lebanon,EQ,2.9,,2.9
7/28/2012,23:29:52,97,4.2,4.3,4.5,34.8395,34.3194,31,E.Mediter.Sea,F,4.5,,4.5
8/11/2012,4:00:47,211,3.6,0,3.3,29.956,35.1332,10,Arava,EQ,3.3,,3.3
8/15/2012,15:39:18,339,3.3,0,0,29.962,35.0824,12,Arava,EQ,3.1,13.6791,3.1
8/24/2012,15:48:08,8,3,0,0,34.631,33.4642,15,E.Mediter.Sea,EQ,2.8,13.38,2.9
9/14/2012,20:28:53,97,3.7,0,0,27.6526,34.7396,4,Red-Sea,EQ,3.4,14.1311,3.4
10/8/2012,19:14:38,458,4,4.1,3.8,29.2522,35.0764,6,Saudi-Arabia,EQ,3.8,,3.8
10/15/2012,0:07:18,545,3.2,0,0,28.8309,34.7687,0,Aragonese-Deep,EQ,3,13.5756,3
10/18/2012,6:46:39,690,0,0,3.2,34.7529,33.9191,9,E.Mediter.Sea,EQ,3.2,,3.2
10/25/2012,19:55:20,295,3.1,0,0,27.2325,34.5957,0,Red-Sea,EQ,2.9,13.4759,2.9
11/3/2012,19:57:15,196,3.4,0,3.2,33.0598,34.8636,8,Carmel-Tirza,F,3.2,,3.2
11/18/2012,3:54:04,393,3.1,0,3.3,33.1009,35.4614,1,Hula-Kinneret,F,3.3,,3.3
11/18/2012,9:19:52,680,3.1,0,3,31.1523,35.5203,6,Dead-Sea-Basin,EQ,3,,3
12/1/2012,11:32:47,424,3.2,0,0,34.4131,32.158,6,E.Mediter.Sea,EQ,3,13.5756,3
