Record Sequence Number,EQID,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Station Type,Station Network,Earthquake Magnitude,Magnitude Type,Mo (dyne.cm),Strike (deg),Dip (deg),Rake Angle (deg),Mechanism,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Width (km),Fault Rupture Area (km^2),Fault Name,Slip Rate (mm/Yr),EpiD      (km),HypD           (km),Joyner-Boore Dist. (km),FW/HW Indicator,Source to Site Azimuth (deg),Vs30 (m/s) selected for analysis,Preferred NEHRP Based on Vs30,Surface Geological Unit,Station Latitude,Station Longitude,Depth to Top Judea (km),Depth to Vs=1100,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,Type of Filter,npass,HP (Hz),LP (Hz),Factor,Lowest Usable Freq - V (Hz),PGA (g),PGV (cm/sec),PGD (cm),f 0.01 Hz,0.012,0.014,0.017,0.021,0.025,0.030,0.036,0.044,0.052,0.063,0.076,0.091,0.110,0.130,0.160,0.190,0.230,0.280,0.330,0.400,0.480,0.580,0.690,0.830,1.00,1.20,1.450,1.740,2.090,2.510,3.020,3.630,4.370,5.250,6.310,7.590,9.120,10.970,13.180,15.850,19.060,22.910,27.540,33.110,39.810,47.860,57.540,69.180,83.180,100.00
1029,,2009,0112,0236,IS_MZDA__SHE,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,367.395501,,,,,,,,31.3106,35.3629,,,,,,,,,,,,0.24121846676948538,9.2112856408474109,,,1.5984964550934506e-06,6.6533699811952885e-09,1.7339375991094356e-09,7.7830376376497154e-12,7.7855419682659831e-12,7.788467494740631e-12,7.7938360212480735e-12,7.802696430153873e-12,7.813638008810921e-12,7.8310023969392886e-12,7.8556603720987293e-12,7.9036102433677384e-12,7.9662246541233364e-12,8.0652314923317558e-12,8.2488248226217684e-12,8.5202089436346104e-12,8.8987079706761066e-12,9.8356122820938796e-12,1.5020676237597892e-11,1.5123820567536522e-11,2.2457095867885734e-11,2.6314146596777718e-11,5.8011508798767159e-11,9.4250066933570628e-11,1.2072262587726811e-10,3.9532192675267146e-10,1.1267539354622413e-09,7.092917626802476e-10,1.8817778484302827e-09,3.7880920958771618e-10,7.7544697187392049e-10,8.756456227016365e-10,2.3056538868253461e-09,2.7078350882715621e-09,1.3143308702512051e-09,2.9700263314044207e-09,4.5330756798992962e-09,5.4883096490363151e-09,1.3737551019150384e-09,1.3145498912509753e-09,6.5077215695956916e-10,7.3694816020753424e-10,1.0146923911070451e-10,1.4274404235438112e-12,4.7116121543241482e-13,,,,,,,,,
1030,,2009,0112,0236,IS_EIL__BHN,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,518.517261,,,,,,,,29.6712,34.952,,,,,,,,,,,,0.10796909150860352,10.982173594246373,,,0.0013002361037149606,7.6493003132172846e-06,7.2380441618447042e-07,1.0926252454909534e-08,1.0936730852400895e-08,1.0945610392785639e-08,1.0976730903570111e-08,1.1021098022070259e-08,1.1080951737193517e-08,1.1187067892000639e-08,1.1342260756355683e-08,1.1505079161357293e-08,1.1945101303569501e-08,1.1894308230360456e-08,1.0959997140782913e-08,1.1219878305612326e-08,2.9467433621676421e-08,1.3185516222220233e-07,1.5108887863507438e-07,2.377030048705728e-07,2.2450261799475994e-07,1.9922976150785676e-07,1.0448065638787431e-07,4.7787823681079873e-07,3.4839318828354627e-07,1.6828539307184186e-06,9.2875130175047305e-07,6.5425632987871643e-07,1.9444337730236297e-06,3.3933139073247346e-06,3.253653757962363e-06,3.4547285893690882e-06,5.59325025600467e-06,3.6431567765684942e-06,4.3632204343801294e-07,9.1915003676948077e-07,1.0219298830103245e-06,1.5775576370367925e-06,1.3495723611565696e-06,5.1886440870273864e-07,4.9464453598501374e-07,4.7963797009292959e-07,9.2500679058534122e-08,7.3319631972731947e-09,1.0307877317248015e-10,,,,,,,,,
1031,,2009,0112,0236,IS_DSI__SHN,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,342.472705,,,,,,,,31.5933,35.3922,,,,,,,,,,,,0.26671622818627921,13.768156780330239,,,0.0018099426375156583,7.3845264024983138e-06,9.099766259584256e-07,4.0193462158666962e-09,4.0232921969443505e-09,4.0275799366016947e-09,4.0376590075874539e-09,4.0274843150602027e-09,4.0284229920485962e-09,4.0681553370562351e-09,4.0647086143253092e-09,4.1053287662240492e-09,4.0977052689562459e-09,4.2599430092745416e-09,4.3753649462336076e-09,4.7111416659575222e-09,4.9486563810473531e-09,5.4074102267378135e-09,2.6270805085295117e-08,7.8525510062456455e-09,3.4122814865914775e-08,3.6485169014478006e-08,6.2129507123803884e-08,2.3606527682529118e-07,1.9423546934037418e-07,1.0125001499021355e-06,1.9385926288166354e-06,8.7917444894586681e-07,2.0697407234710734e-06,3.7574906962327373e-06,2.3477919723950785e-06,7.8113471633743025e-07,8.8094771823041402e-07,1.3502150661873017e-06,2.6879821074965569e-06,1.8933652314678664e-06,2.3355126367788849e-06,2.2076118622607518e-06,4.4304304166338968e-06,3.0187533208600102e-06,1.0397652331667475e-06,1.8504463858816119e-06,5.5958449313041997e-07,7.2540445656468877e-08,7.8863984601936319e-11,,,,,,,,,
1032,,2009,0112,0236,IS_MMB4__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,230.060619,,,,,,,,33.02084,35.40199,,,,,,,,,,,,0.25364715576097929,14.477555778261765,,,0.00027899344059276264,6.784685573505355e-07,2.542375717347405e-08,1.4923998278786698e-11,1.4943032780812571e-11,1.4964868038856064e-11,1.5004016760490757e-11,1.5065821948852774e-11,1.5135602653217201e-11,1.5232505790526308e-11,1.535557476617558e-11,1.551693266299049e-11,1.5659112050693646e-11,1.5809220886888468e-11,1.6176441329411961e-11,1.5093576672733422e-11,1.4291274763851785e-11,1.2636151984618796e-11,9.6063803197116707e-11,3.358846026762812e-10,4.9477094984441667e-10,1.0815882018676399e-09,3.8109724778730109e-09,6.533638136161062e-09,1.1380812649731044e-08,9.684200373804881e-09,1.0268541390901197e-08,1.9151819776069808e-08,1.2270656006661602e-08,2.9674509555625094e-08,1.871842230022713e-08,9.1733715151020314e-08,3.2146763304581326e-08,1.4317963558192237e-07,2.3965156200452052e-07,1.4437986075080081e-07,3.2545050269537558e-07,1.7008065144317066e-07,6.9944043176872639e-07,9.9191493336153361e-07,4.4806548353488308e-07,1.8240386419366506e-07,6.2916652762352551e-08,3.38456432070326e-08,9.8829940838567452e-13,,,,,,,,,
1033,,2009,0112,0236,IS_MMA3__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,230.88466,,,,,,,,33.01205,35.40572,,,,,,,,,,,,0.23523439924503559,14.845846604961229,,,0.00044503649462516748,1.1941084195292631e-06,4.0825186811946113e-08,4.500062640097646e-11,4.4934245248091953e-11,4.485475127535664e-11,4.4714256207818551e-11,4.4482467365544503e-11,4.4200973343658072e-11,4.3766837999788802e-11,4.3134327478399998e-11,4.2077781369536855e-11,4.0734850534606241e-11,3.9036980365920266e-11,3.2895367899752391e-11,2.753601297845289e-11,2.6219618065318711e-11,7.5626931448499494e-11,2.9290424055886262e-10,1.2016782447287789e-09,1.6975478729728168e-09,3.447278730932008e-09,1.4166653924049979e-08,1.7234942741853183e-08,1.6350778511806791e-08,4.4078776535416331e-08,1.6135628542007519e-08,7.4449860440557139e-08,4.0194086044240303e-08,2.0156311970509733e-07,1.2650334407693879e-07,1.4324827025022016e-07,2.949989252818166e-07,1.9947130317598749e-07,4.7736414713067425e-07,6.2079074038199103e-07,5.389399888360385e-07,5.6287946314160483e-07,1.8582173691550835e-06,1.8049879176885457e-06,1.0349721717926193e-06,6.7997815948544721e-07,2.5117829732483678e-07,3.2538929269450397e-08,2.4132950540689498e-11,,,,,,,,,
1034,,2009,0112,0236,IS_SLTI__SHN,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,264.737062,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.24735476145225985,12.143033481526487,,,9.3917732390944609e-07,5.4246182086904121e-09,5.6575275221641503e-10,6.3168223655639136e-12,6.3768413323921671e-12,6.3830320717372609e-12,6.0624958823866543e-12,5.2185005252607803e-12,5.6693548706883815e-12,4.0592832081482233e-12,1.6554759582152245e-11,1.5907146118770344e-11,9.3211576340335733e-12,1.0245495083935491e-11,1.3394445923477994e-11,2.2129150556579131e-11,2.0440682820479327e-11,1.9858318215904013e-11,2.6000384952284219e-11,1.1347516140833542e-10,6.8956370726932809e-11,9.4633216839878154e-11,1.0272137954857833e-10,3.2807201316878954e-10,3.6258979013983285e-10,2.2825755894735956e-10,2.1578022789865991e-10,3.8942780021138543e-10,2.725662605993484e-10,9.9083282328897241e-10,2.1251033319823402e-09,1.2816167462279449e-09,1.1324817344812665e-09,8.6714081386786186e-10,2.3271056626306097e-09,5.4455699169828241e-10,3.4574442894272609e-09,2.8350492386301678e-09,4.7573903613195229e-09,2.6605129242764362e-09,3.0924035446748768e-09,2.541085389675286e-09,9.8357207715339659e-10,9.0976126833417676e-11,6.029898550967156e-13,,,,,,,,,
1035,,2009,0112,0236,IS_MMC6__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,229.775329,,,,,,,,33.01203,35.39151,,,,,,,,,,,,0.23523439924503559,15.610773157806022,,,3.0809686857858935e-05,8.7258090175166065e-08,3.1252004868524581e-09,5.7992176561362062e-12,5.7996623001098075e-12,5.8001541707302024e-12,5.8010617972563051e-12,5.8024909251178405e-12,5.8040325892972653e-12,5.8060197345314586e-12,5.8106795053868087e-12,5.8168980698570789e-12,5.8258031513362229e-12,5.8010968465389626e-12,5.852906155586673e-12,5.9297675046840902e-12,6.0067005383322998e-12,1.0412315757178495e-11,6.9434618050673204e-12,4.7859107803237461e-11,6.0670054788016468e-11,1.7655170070116347e-10,5.7939385935601046e-10,7.2843655275794833e-10,1.2726346503617064e-09,8.098263830448815e-10,1.3658317033594238e-09,3.9813960971901939e-09,3.1732306544361692e-09,7.4070606116297972e-09,1.1984164009655867e-08,2.2460279611877665e-08,2.2214104602701148e-08,2.1492618470199897e-08,5.0113699403432642e-08,3.6600624584021664e-08,7.3689946177539809e-08,9.1481722832662605e-08,1.0188635032762688e-07,4.1599432121012427e-08,2.7491835480209199e-08,8.7605292253291792e-08,9.0145526432084291e-09,8.6849429114002972e-09,1.3369935528887558e-12,,,,,,,,,
1036,,2009,0112,0236,IS_HRFI__BHN,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,481.998667,,,,,,,,30.04,35.03,,,,,,,,,,,,0.22939878247817763,13.093518272772499,,,0.00023236307107212925,9.2055660551602915e-07,8.057882000917635e-08,1.2823860197438688e-11,1.3163690406322208e-11,1.3565859149950555e-11,1.4278021001222868e-11,1.5453202125303528e-11,1.6955054792008744e-11,1.9055111844608983e-11,2.2071342917350453e-11,2.612519115132058e-11,3.0726135766417158e-11,3.2415934416268202e-11,3.4176801431220666e-11,7.4038933238313676e-11,4.5249671454087659e-10,8.5071490671807335e-10,2.0856343677167493e-09,9.8804216477987642e-09,3.8725076120951015e-09,2.1161838098599766e-08,2.1454612118231924e-08,4.8210248266405764e-08,6.4527776553360406e-08,1.1937901421211497e-07,1.5321030368019064e-07,1.8407424975787316e-07,5.2657522036608904e-08,3.1472235641443228e-07,5.3572983994630885e-07,3.4633526998654039e-07,4.5033693598868957e-07,2.5530201458687008e-07,4.7479858981920077e-07,5.4961360754091854e-07,2.5871995960406741e-07,2.0095912734019541e-07,5.6019187093252398e-07,2.4527336776345775e-07,1.8978828771621335e-07,5.5061254221628355e-07,8.575198168161846e-08,1.0789949388611951e-08,8.0839995775584724e-14,,,,,,,,,
1037,,2009,0112,0236,IS_SLTI__SHE,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,264.737062,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.22939878247817763,14.845846604961229,,,1.2441595307583249e-06,3.6194263309685294e-09,4.7637555588466523e-09,3.7688865222104843e-11,3.7841479506217193e-11,3.7596514769489349e-11,3.7316112880026369e-11,3.8760844471152538e-11,4.0397746624175577e-11,3.877661783068979e-11,4.6593024718721264e-11,3.1593820694518038e-11,1.5795234100762433e-11,3.3079608634625616e-11,2.2644334305574044e-11,1.6606355513751892e-11,4.5112764832417873e-11,6.6075214502299723e-11,4.1478185874815063e-11,7.6613583384432475e-11,1.0300270125785202e-10,1.5693343065492035e-10,8.6469337906500937e-11,2.3585377994842586e-10,6.5253283679318998e-11,3.1475134164745261e-10,1.9235147490419686e-10,8.1289387027542943e-11,5.4483877242553691e-10,3.8423021350916422e-10,2.1300204110471967e-10,1.4410294597025665e-09,2.6668267395891488e-09,1.8024906938837669e-09,2.0758924854568988e-09,1.4972731600898642e-09,4.6246593695905666e-10,3.0935404309073333e-09,3.1508371700111482e-09,1.5342138200550219e-09,1.5933392550998615e-09,1.9939150784131827e-09,3.6724473753538894e-09,2.1987732503638814e-10,8.3565070558299948e-13,,,,,,,,,
1038,,2009,0112,0236,IS_PRNI__SHN,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,448.628527,,,,,,,,30.3522,35.0052,,,,,,,,,,,,0.20232171529551018,13.093518272772499,,,6.228301539164873e-05,2.6857151578047211e-07,4.515140986246463e-08,9.2514413754570922e-10,9.2599725991525659e-10,9.2566076941442975e-10,9.2507546866129602e-10,9.2591626800563184e-10,9.4357740275105503e-10,9.0659664674172649e-10,9.2869472261608231e-10,9.7874144568750537e-10,9.5487050302703352e-10,9.1691754927044823e-10,8.6329232587440057e-10,1.0391582349847735e-09,9.6387903432153977e-10,3.5127473478378515e-09,1.0239847469499158e-08,1.8123405539021499e-08,9.90893901326691e-09,1.5446763613703742e-08,2.9774343353468301e-08,5.8142734727445316e-08,6.311674950209867e-08,1.2811753529299896e-07,4.6008439155295433e-08,1.1828507171293398e-07,1.7364762471871149e-07,1.3345236859829174e-08,5.8141340638112893e-08,4.4359782017082376e-09,2.7181954171303159e-08,5.0614646345642322e-08,5.0175959950047839e-08,1.0078456295929005e-07,9.6796417955478899e-08,2.5066858255481632e-07,1.6399358571742342e-07,1.8890735175238465e-07,1.2539470474726793e-07,8.1080223866929232e-08,1.6972995991306919e-08,5.4414272529077891e-09,3.0949372014133012e-12,,,,,,,,,
1039,,2009,0112,0236,IS_HRFI__BHE,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,481.998667,,,,,,,,30.04,35.03,,,,,,,,,,,,0.24735476145225985,13.093518272772499,,,0.00017200755450487567,8.414283221781461e-07,6.3248635150487221e-08,5.1695226856254031e-11,5.1543070930169541e-11,5.1370225892989752e-11,5.1087529332938048e-11,5.0574946486483121e-11,4.9865758917844718e-11,4.9068734013087766e-11,4.805460988213443e-11,4.5741554396153333e-11,4.6787684726900901e-11,4.2892764884317563e-11,5.5452150683825469e-11,5.1292774969402851e-11,8.1073680173862549e-11,4.6027316032081028e-10,3.3778763441806099e-09,1.7404554295254704e-08,2.2014140659640923e-08,1.0460974544670379e-08,3.7252590981082116e-08,1.763100636388309e-08,6.9769740628827855e-08,1.242957108779492e-07,3.9839437231634554e-08,9.0331985174166521e-08,1.5482127029505721e-07,3.4714314371129458e-07,6.0962071372865021e-08,6.9837107597347766e-07,4.4924994946982737e-07,1.1873758744050785e-06,2.62010984899276e-07,2.4047485883882602e-07,5.2448729821223437e-07,4.6001316902633199e-07,3.6006825275841555e-07,3.0309994404967082e-07,4.5870636879484954e-07,3.2915314368746674e-07,5.5428955245616607e-08,1.0799219863765329e-08,4.3472101096644205e-13,,,,,,,,,
1040,,2009,0112,0236,IS_HRFI__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,481.998667,,,,,,,,30.04,35.03,,,,,,,,,,,,0.26009962067397546,11.261546290434179,,,0.00013384937627998738,5.8878052397933002e-07,4.8945064662350185e-08,5.4477669763459498e-11,5.4614145384766766e-11,5.478506161008775e-11,5.5089871042133476e-11,5.5587743878764366e-11,5.6216578816302473e-11,5.7103365710371258e-11,5.843060103430498e-11,6.150434700522741e-11,6.0661267194175416e-11,7.3666555044772157e-11,8.4155223166559549e-11,8.9506322859519839e-11,2.2682466769759495e-10,5.7964170028679386e-10,2.9757963739149029e-09,4.9555998952971363e-09,2.8996462472002059e-09,1.371415527862839e-08,1.8099960732098253e-08,2.5190958183958149e-08,4.4508553631087084e-08,3.4742761112216998e-08,2.9897692489387726e-08,7.4090068757741704e-08,1.5417163437717237e-07,1.2939534374689775e-07,1.423228223268965e-07,2.7354996312474951e-07,5.7284185036614209e-07,2.3861732189693264e-07,6.3473386967798431e-08,1.9301528335592214e-07,3.5574357754842261e-08,3.6719618750990927e-07,3.477783460654354e-07,2.5436731211404479e-07,4.8121956129213093e-07,6.4886724334787743e-08,7.328834298149425e-08,1.1666466516588585e-09,4.0648807778145364e-13,,,,,,,,,
1041,,2009,0112,0236,IS_MMA1__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,230.312745,,,,,,,,33.01812,35.40311,,,,,,,,,,,,0.088312396594535075,11.548025876957055,,,0.00019270461985444943,5.6737015158618735e-07,2.0020346073703776e-08,1.4439035167650184e-11,1.4382816497042114e-11,1.4318714677399434e-11,1.4202898446874573e-11,1.4008895372254932e-11,1.3773673212422143e-11,1.3400876174093305e-11,1.2844984382426725e-11,1.1805182964197834e-11,9.805106257906905e-12,1.2749299770974721e-11,2.8647804599731478e-11,3.2963028150398856e-11,5.088592771612048e-11,2.3767077105578199e-10,5.5441908460740074e-10,1.4220230363280887e-09,9.6590056408744471e-10,1.9254736521559014e-09,4.874573231319644e-09,8.473899846577301e-09,1.2061056811655024e-08,1.1898783103320917e-08,6.3779782679259599e-09,6.2166199886260482e-09,1.1285968668271558e-08,5.3485586735324879e-08,3.1933592795079178e-08,8.3620717936130937e-08,7.2078021863737577e-08,8.0808323031412798e-08,1.8161571825250959e-07,1.7695768558268896e-07,4.4683567681544056e-07,1.003458022634086e-07,6.8985465816276957e-07,5.2953805309337738e-07,2.398608978574865e-07,2.1755694585991233e-07,8.7531113828243776e-08,6.4821061910322791e-09,1.3355559812619836e-11,,,,,,,,,
1042,,2009,0112,0236,IS_SLTI__SHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,264.737062,,,,,,,,32.2408,35.041,,,,,,,,,,,,0.22370793375187423,13.093518272772499,,,2.575978414637041e-06,8.2911608777949531e-09,2.8668370170970501e-09,1.0361543962302744e-11,9.6166203805497144e-12,9.3599270126379614e-12,1.454932624538465e-11,2.9754620548438523e-11,4.0001102892660172e-11,3.5382583453559237e-11,1.193336663959651e-10,1.9014280198694629e-10,1.8051720179552926e-10,2.0765651349463799e-10,2.5825406847962802e-10,2.3948771511356773e-10,2.3058768699916234e-10,1.7958757058977409e-10,2.5528764357891395e-10,2.5404737490126478e-10,3.1644750727952234e-10,4.4215877934483764e-10,3.1962576156217525e-10,1.6230926808615013e-09,7.002754858068016e-10,9.0224857711305151e-10,5.077983735734457e-10,6.1896775383250861e-10,7.3045398371050573e-10,1.4095362599170147e-09,3.0288277235538404e-09,5.1035595396287408e-10,1.9565968106879455e-09,5.0239786020987961e-09,2.6018620663109319e-09,2.0007073731299645e-09,2.0522075695835952e-09,6.1201596042541038e-09,3.04228262535128e-09,7.5842895245769802e-09,1.4576570383345824e-09,4.9312716834060441e-09,2.4754480987661956e-09,3.8104325926277766e-10,5.9433703196253034e-13,,,,,,,,,
1043,,2009,0112,0236,IS_MMB1__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,231.096672,,,,,,,,33.01513,35.41081,,,,,,,,,,,,0.16969710913234198,14.477555778261765,,,0.00020619711568817695,6.1154558782649862e-07,1.8721883891390236e-08,2.2543925489854696e-11,2.2579238006892987e-11,2.2622606378804363e-11,2.2695232609920659e-11,2.280596750388872e-11,2.2929574885772618e-11,2.3091226764500932e-11,2.3278501200088586e-11,2.3475502728109185e-11,2.3593134753800915e-11,2.4213734645932894e-11,2.4726114790746341e-11,1.7079880144548254e-11,2.5932167554036655e-11,7.253287685244086e-11,2.4439909733203112e-10,9.6031060335195106e-10,9.6710022659083972e-10,1.7213693730165876e-09,6.858152176054476e-09,7.1845662860447751e-09,7.2708125425762865e-09,1.2412031766500718e-08,1.1063669278678289e-08,1.2590172367610057e-08,4.2930774727957277e-09,4.3971436105430433e-08,1.1243428712851398e-08,4.6106766865054184e-08,3.2767577522338663e-08,1.292399590204879e-07,1.1405926338564606e-07,1.5701548596528649e-07,5.2855770742504951e-07,1.2019418165529038e-07,2.5971421213449901e-07,4.1145090794492767e-07,3.3068201519915581e-07,1.8541635909761957e-07,1.7872022475336272e-07,3.5806584671052228e-08,3.5029887627298213e-13,,,,,,,,,
1044,,2009,0112,0236,IS_MMC2__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,230.458562,,,,,,,,33.02681,35.41164,,,,,,,,,,,,0.27350115387935653,16.007891610655562,,,0.00030626180059034158,9.0918600365183988e-07,1.9223468092390102e-08,1.2644538467291998e-11,1.2600804047484705e-11,1.2544760512455809e-11,1.2448398445364893e-11,1.2293497803426676e-11,1.2102778303965052e-11,1.1824948273882644e-11,1.1426969770001269e-11,1.0797962778104761e-11,1.0069315066525706e-11,8.8126653530867218e-12,7.6926567278616759e-12,6.5339721908712941e-12,8.3446786154116769e-12,2.163376027516469e-11,4.7420053811830507e-11,2.6067575620285879e-10,3.6369425372579107e-10,7.4745791674613664e-10,3.7246791953066167e-09,6.3618467937050051e-09,3.5480425017592399e-09,9.5687755003714776e-09,1.360092966889889e-08,4.2941049526179909e-09,4.340561504291843e-08,1.6515477494643907e-08,5.1251703841579163e-08,1.1865275927524494e-07,1.1136068245992297e-07,7.8127591697326235e-08,2.2192134029158477e-07,3.5121030597368007e-07,1.0080527044911819e-07,6.601960929127003e-07,5.7566295602401797e-07,1.2276401035201017e-06,4.3591303729665354e-07,4.2664628902974098e-07,2.0164617867416868e-07,3.325395494954077e-07,3.291057293707942e-12,,,,,,,,,
1045,,2009,0112,0236,IS_MMA0B__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,230.480555,,,,,,,,33.01527,35.40305,,,,,,,,,,,,0.11642027296665514,9.4456091727744216,,,3.3085692577846946e-05,1.6629497628765542e-07,2.0214536223829588e-08,2.9320842897955189e-10,2.9361401965702109e-10,2.9411019024444231e-10,2.9498063340614304e-10,2.9646472274437032e-10,2.9829642588763634e-10,3.0127838190197582e-10,3.0465448151127214e-10,3.087292341622038e-10,3.1194522192436114e-10,4.2797156009343495e-10,4.7480929875716932e-10,6.2666587430428041e-10,7.270612879473351e-10,3.0540225270900482e-09,2.4604246363614001e-09,8.5116294472520172e-09,8.0388726788201058e-09,9.5450008923979677e-09,1.8160563812759969e-08,2.8305434276788474e-08,2.8389213323236566e-08,2.3702956216802453e-08,2.0682841300537629e-08,3.9061924999690822e-08,2.9048955838479314e-08,4.4759074559122466e-08,3.160775551890031e-08,4.7519596590644831e-08,3.8188727067048356e-08,9.4157913280595748e-08,5.8889781391338108e-08,3.7904791378396071e-08,4.3144003969832876e-08,7.9618525805324797e-08,7.1160997906877076e-09,4.307147348288511e-08,4.3123844185584998e-08,1.8941436577616196e-08,2.8474527144343254e-09,3.3274030501896268e-11,1.3670647526255965e-11,,,,,,,,,
1046,,2009,0112,0236,IS_MBRI__SHE,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,504.534672,,,,,,,,29.79329,34.9152,,,,,,,,,,,,0.28759319594357236,12.76869862473219,,,2.903668154346265e-09,2.0285609433797482e-11,1.5382437538372336e-12,4.4689739563417323e-15,4.4686947209634149e-15,4.4689012705527472e-15,4.4774578199350543e-15,4.4624188986356957e-15,4.4767390761137056e-15,4.4668497622573598e-15,4.5170221111737665e-15,4.499842246180086e-15,4.4352244145518382e-15,4.0011434154577968e-15,4.6799796957276769e-15,4.4348372589999387e-15,5.4845768490137482e-15,4.5152411927570343e-15,6.499037651199185e-15,3.1171774187598334e-14,3.975170361292034e-14,3.8155317810577548e-14,8.4289477917956439e-14,1.5988809958407156e-13,6.5976756117182454e-13,1.0481694711270322e-12,7.9757785000066864e-13,1.4051909167564597e-12,2.009281189590741e-12,3.305157324800822e-12,3.2666593866259716e-12,4.28158206925902e-12,1.0924804022570952e-12,5.0805476016520546e-12,7.8264295906020787e-12,4.4909675691675665e-12,1.142005441919218e-11,4.2147081486340951e-12,4.4882907441057283e-12,7.4708305837205822e-12,5.1615497782787285e-12,1.6531716305862098e-12,4.2520794957237372e-13,8.6432084266795593e-14,4.5703225831173002e-16,,,,,,,,,
1047,,2009,0112,0236,IS_MMC4__BHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,232.186097,,,,,,,,33.00722,35.41861,,,,,,,,,,,,0.09055895299174474,12.76869862473219,,,0.00021797197304856692,6.1522609043807669e-07,2.0898562319556629e-08,2.6048241072808742e-10,2.6051368729363984e-10,2.6055149150713395e-10,2.6061711352365202e-10,2.6072365395953469e-10,2.6085239624049392e-10,2.6104087946644741e-10,2.6131506352940964e-10,2.6149141794884469e-10,2.6248704911641904e-10,2.696330571184054e-10,2.7549870122559141e-10,2.3115093061061874e-10,2.4963146417129635e-10,3.3338590377131893e-10,4.8312320441606662e-10,1.2144257703348304e-09,1.0068049104139669e-09,2.3357431245660633e-09,7.8938108503315931e-09,7.8321214450153667e-09,3.5950930433960766e-09,7.2165251113804884e-09,2.0643928274828607e-08,1.814534837536893e-08,3.0986536274725894e-09,3.4200656561236215e-08,5.6866100702660807e-08,1.3774050115592236e-07,1.4825133069094622e-07,3.6188363476350927e-08,7.5701819640289109e-08,1.8370911577350367e-07,1.7919308917879144e-07,1.5169153459324709e-07,3.130953755307101e-07,5.61109856351759e-07,5.1035007623858014e-07,7.2777616307392732e-08,3.6769258905883757e-08,2.4146435519445549e-08,1.410822951714947e-11,,,,,,,,,
1048,,2009,0112,0236,IS_KRMI__SHZ,,,,IS,3.6,,,,,,,34.1329,33.3101,,,,,,,,464.821325,,,,,,,,30.1178,34.7257,,,,,,,,,,,,0.28045867955622106,9.9322905629509144,,,0.0001501752602618355,4.4267318293813423e-07,7.1567845832171585e-08,4.6415824264276952e-10,4.6403765449088086e-10,4.6330376201749666e-10,4.6527632536470666e-10,4.6681457334629108e-10,4.6128882817038162e-10,4.8162406416359296e-10,4.806683026828431e-10,4.9194476481035984e-10,4.8403930803098304e-10,4.385013803773026e-10,5.0093841883754967e-10,4.651582477114476e-10,5.5039565906567043e-10,6.0280173750404498e-10,1.1230549778390341e-09,1.8275934582226862e-09,2.5581265563147848e-09,3.8419937119301516e-09,7.6291282369859206e-10,7.3578140705438336e-09,1.068033400582461e-08,2.1735392408730096e-08,7.1930400311993186e-09,1.8366176733815883e-08,3.9806550177836727e-08,1.6498630892077152e-08,4.5696452110289109e-08,4.8891605021182794e-08,1.0752793724663727e-07,2.5813870865353243e-07,7.1101746300943317e-08,6.1945023425978594e-08,1.0276112129621136e-07,1.4420700775532431e-07,3.6370564973768741e-07,2.0468814916019698e-07,1.2183672148152285e-07,1.9242443680626546e-07,3.686229627955685e-08,3.6482726953054827e-09,4.1646198189909207e-11,,,,,,,,,
