eventname,date,sta
20110819103550,2011-8-19T10_35_50,IS_MMB1__BHZ
20110819103550,2011-8-19T10_35_50,IS_MMC2__BHZ
20110819103550,2011-8-19T10_35_50,IS_MMA0B__BHZ
20110819103550,2011-8-19T10_35_50,IS_MBRI__SHE
20110819103550,2011-8-19T10_35_50,IS_KRMI__SHZ
20110819103550,2011-8-19T10_35_50,IS_MMC3__BHZ
20110819103550,2011-8-19T10_35_50,IS_PRNI__SHE
20110819103550,2011-8-19T10_35_50,IS_DSI__SHN
20110819103550,2011-8-19T10_35_50,IS_MMC7__BHZ
20110819103550,2011-8-19T10_35_50,IS_OFRI__SHZ
20110819103550,2011-8-19T10_35_50,IS_MMA2__BHZ
20110819103550,2011-8-19T10_35_50,IS_KRMI__SHN
20110819103550,2011-8-19T10_35_50,IS_MMC1__BHZ
20110819103550,2011-8-19T10_35_50,IS_MMB2__BHZ
20110819103550,2011-8-19T10_35_50,IS_HNTI__SHE
20110819103550,2011-8-19T10_35_50,IS_MBRI__SHN
20110819103550,2011-8-19T10_35_50,IS_PRNI__SHZ
20110819103550,2011-8-19T10_35_50,IS_KRMI__SHE
20110819103550,2011-8-19T10_35_50,IS_HMDT__SHZ
20110819103550,2011-8-19T10_35_50,IS_MBRI__SHZ
20110819103550,2011-8-19T10_35_50,IS_HNTI__SHN
20110819103550,2011-8-19T10_35_50,IS_MMLI__BHN
20110807085228,2011-8-7T8_52_28,IS_KRMI__SHZ
20110910021630,2011-9-10T2_16_30,IS_OFRI__SHZ
20110910021630,2011-9-10T2_16_30,IS_MMA0B__BHZ
20110910021630,2011-9-10T2_16_30,IS_MMA0__BHZ
20110910021630,2011-9-10T2_16_30,IS_BLGI__SHZ
20110910021630,2011-9-10T2_16_30,IS_MZDA__SHN
20110910021630,2011-9-10T2_16_30,IS_MMC1__BHZ
20110910021630,2011-9-10T2_16_30,IS_HNTI__SHE
20110910021630,2011-9-10T2_16_30,IS_HMDT__SHZ
20110910021630,2011-9-10T2_16_30,IS_HNTI__SHN
20120130225703,2012-1-30T22_57_03,IS_AMAZ__BHE
20120130225703,2012-1-30T22_57_03,IS_MMC4__BHZ
20120130225703,2012-1-30T22_57_03,IS_ZFRI__SHZ
20120130225703,2012-1-30T22_57_03,IS_AMAZ__BHN
20120130225703,2012-1-30T22_57_03,IS_MMA1__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMA4__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMC5__BHZ
20120130225703,2012-1-30T22_57_03,IS_OFRI__SHZ
20120130225703,2012-1-30T22_57_03,IS_MMA0B__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMA0__BHZ
20120130225703,2012-1-30T22_57_03,IS_MZDA__SHE
20120130225703,2012-1-30T22_57_03,IS_MMC1__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMB4__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMA3__BHZ
20120130225703,2012-1-30T22_57_03,IS_SLTI__SHN
20120130225703,2012-1-30T22_57_03,IS_MMC6__BHZ
20120130225703,2012-1-30T22_57_03,IS_SLTI__SHE
20120130225703,2012-1-30T22_57_03,IS_BLGI__SHZ
20120130225703,2012-1-30T22_57_03,IS_MMLI__BHZ
20120130225703,2012-1-30T22_57_03,IS_HMDT__SHE
20120130225703,2012-1-30T22_57_03,IS_SLTI__SHZ
20120130225703,2012-1-30T22_57_03,IS_MMB1__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMC2__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMC3__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMC7__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMA2__BHZ
20120130225703,2012-1-30T22_57_03,IS_HMDT__SHN
20120130225703,2012-1-30T22_57_03,IS_MMB3__BHZ
20120130225703,2012-1-30T22_57_03,IS_MMB2__BHZ
20120130225703,2012-1-30T22_57_03,IS_HNTI__SHE
20120130225703,2012-1-30T22_57_03,IS_HMDT__SHZ
20120130225703,2012-1-30T22_57_03,IS_HNTI__SHN
20120130225703,2012-1-30T22_57_03,IS_MMLI__BHN
20120131004217,2012-1-31T0_42_17,IS_MMC4__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMA1__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMA4__BHZ
20120131004217,2012-1-31T0_42_17,IS_AMAZ__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMC5__BHZ
20120131004217,2012-1-31T0_42_17,IS_OFRI__SHZ
20120131004217,2012-1-31T0_42_17,IS_MMA0B__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMA0__BHZ
20120131004217,2012-1-31T0_42_17,IS_MZDA__SHE
20120131004217,2012-1-31T0_42_17,IS_MMLI__BHE
20120131004217,2012-1-31T0_42_17,IS_MMC1__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMB4__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMA3__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMC6__BHZ
20120131004217,2012-1-31T0_42_17,IS_SLTI__SHE
20120131004217,2012-1-31T0_42_17,IS_BLGI__SHZ
20120131004217,2012-1-31T0_42_17,IS_MMLI__BHZ
20120131004217,2012-1-31T0_42_17,IS_HMDT__SHE
20120131004217,2012-1-31T0_42_17,IS_SLTI__SHZ
20120131004217,2012-1-31T0_42_17,IS_MZDA__SHN
20120131004217,2012-1-31T0_42_17,IS_MMB1__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMC2__BHZ
20120131004217,2012-1-31T0_42_17,IS_MZDA__SHZ
20120131004217,2012-1-31T0_42_17,IS_MMC3__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMC7__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMA2__BHZ
20120131004217,2012-1-31T0_42_17,IS_HMDT__SHN
20120131004217,2012-1-31T0_42_17,IS_MMB3__BHZ
20120131004217,2012-1-31T0_42_17,IS_MMB2__BHZ
20120131004217,2012-1-31T0_42_17,IS_HNTI__SHE
20120131004217,2012-1-31T0_42_17,IS_HNTI__SHN
20120131004217,2012-1-31T0_42_17,IS_MMLI__BHN
20120209111156,2012-2-9T11_11_56,IS_KZIT__BHN
20120209111156,2012-2-9T11_11_56,IS_AMAZ__BHE
20120209111156,2012-2-9T11_11_56,IS_ZFRI__SHZ
20120209111156,2012-2-9T11_11_56,IS_KZIT__BHE
20120209111156,2012-2-9T11_11_56,IS_AMAZ__BHN
20120209111156,2012-2-9T11_11_56,IS_KZIT__BHZ
20120209111156,2012-2-9T11_11_56,IS_AMAZ__BHZ
20120209111156,2012-2-9T11_11_56,IS_MMA0__BHZ
20120209111156,2012-2-9T11_11_56,IS_KRMI__SHN
20120216124644,2012-2-16T12_46_44,IS_OFRI__SHE
20120216124644,2012-2-16T12_46_44,IS_MMC4__BHZ
20120216124644,2012-2-16T12_46_44,IS_ZFRI__SHZ
20120216124644,2012-2-16T12_46_44,IS_AMAZ__BHN
20120216124644,2012-2-16T12_46_44,IS_KZIT__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMA1__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMA4__BHZ
20120216124644,2012-2-16T12_46_44,IS_AMAZ__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMC5__BHZ
20120216124644,2012-2-16T12_46_44,IS_OFRI__SHZ
20120216124644,2012-2-16T12_46_44,IS_MMA0B__BHZ
20120216124644,2012-2-16T12_46_44,IS_DSI__SHZ
20120216124644,2012-2-16T12_46_44,IS_MMA0__BHZ
20120216124644,2012-2-16T12_46_44,IS_ZFRI__SHE
20120216124644,2012-2-16T12_46_44,IS_MZDA__SHE
20120216124644,2012-2-16T12_46_44,IS_MMLI__BHE
20120216124644,2012-2-16T12_46_44,IS_MMC1__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMB4__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMA3__BHZ
20120216124644,2012-2-16T12_46_44,IS_SLTI__SHN
20120216124644,2012-2-16T12_46_44,IS_MMC6__BHZ
20120216124644,2012-2-16T12_46_44,IS_SLTI__SHE
20120216124644,2012-2-16T12_46_44,IS_BLGI__SHZ
20120216124644,2012-2-16T12_46_44,IS_DSI__SHE
20120216124644,2012-2-16T12_46_44,IS_MMLI__BHZ
20120216124644,2012-2-16T12_46_44,IS_HMDT__SHE
20120216124644,2012-2-16T12_46_44,IS_SLTI__SHZ
20120216124644,2012-2-16T12_46_44,IS_MZDA__SHN
20120216124644,2012-2-16T12_46_44,IS_MMB1__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMC2__BHZ
20120216124644,2012-2-16T12_46_44,IS_MZDA__SHZ
20120216124644,2012-2-16T12_46_44,IS_KRMI__SHZ
20120216124644,2012-2-16T12_46_44,IS_MMC3__BHZ
20120216124644,2012-2-16T12_46_44,IS_DSI__SHN
20120216124644,2012-2-16T12_46_44,IS_MMC7__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMA2__BHZ
20120216124644,2012-2-16T12_46_44,IS_KRMI__SHN
20120216124644,2012-2-16T12_46_44,IS_HMDT__SHN
20120216124644,2012-2-16T12_46_44,IS_MMB3__BHZ
20120216124644,2012-2-16T12_46_44,IS_MMB2__BHZ
20120216124644,2012-2-16T12_46_44,IS_HNTI__SHE
20120216124644,2012-2-16T12_46_44,IS_KRMI__SHE
20120216124644,2012-2-16T12_46_44,IS_HNTI__SHN
